,SMILES
0,FC(F)(F)c1cc(-n2c(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)cc(C)n2)ccc1
1,FC(F)(F)[C@H](O)[C@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)Cc1ccccc1
2,Clc1cc(-n2c(NC(=O)[C@@H]3c4c(NC(=O)C3)cc(F)cc4)cc(C)n2)ccc1
3,Brc1cc(-n2c(NC(=O)[C@@H]3C[C@@H](CC)NC(=O)C3)cc(C)n2)ccc1
4,O=C(NC1(CNC(=O)c2[nH]ncc2)CCC1)[C@@H]1C[C@@H](CC)NC(=O)C1
5,Brc1cc(-n2c(NC(=O)[C@@H]3C[C@@H](C)NC(=O)C3)cc(C)n2)ccc1
6,Fc1cc(c(NC(=O)[C@@H]2c3c(NC(=O)C2)cc(F)cc3)cc1)-c1cn(C)nc1
7,FC(F)(F)Oc1ccc(C2(NC(=O)[C@@H]3C[C@H](C)NC(=O)C3)CC2)cc1
8,FC(F)(F)c1ccc(C2(NC(=O)[C@@H]3C[C@H](C)NC(=O)C3)CCCC2)cc1
9,O=C(NC1(CNC(=O)c2[nH]ccc2)CCC1)[C@@H]1C[C@H](CC)NC(=O)C1
10,O=C(NC1(c2ccc(OC)cc2)CCCC1)[C@@H]1c2c(NC(=O)C1)cccc2
11,Brc1cc(-n2c(NC(=O)[C@@H]3C[C@H](C)NC(=O)C3)cc(C)n2)ccc1
12,FC(F)(F)c1cc([C@H](O)C(=O)N2C3(CC(=O)CC2)CCC3)ccc1
13,FC(F)(F)c1cc(-n2c(NC(=O)[C@@H]3C[C@@H](C)NC(=O)C3)cc(C)n2)ccc1
14,Brc1cc(-n2c(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)cc(C)n2)ccc1
15,FC(F)(F)c1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CCCC2)cc1
16,F[C@H]1[C@H](NC(=O)[C@@H]2c3c(NC(=O)C2)cc(F)cc3)c2c(cccc2)CC1
17,O=C(NCC1(NC(=O)[C@@H]2C[C@H](CC)NC(=O)C2)CCC1)C(=O)N
18,O=C(NC1(c2ccc(C(C)(C)C)cc2)CCCC1)[C@@H]1C[C@@H](C)NC(=O)C1
19,Brc1cc(-n2c(NC(=O)[C@H]3CC(=O)NCC3)cc(C)n2)ccc1
20,FC(F)(F)Oc1ccc(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CC2)cc1
21,O=C(Nc1c(O)cc2N(C)C(=O)N(C)c2c1)CC[C@@]1(C)NC(=O)CC1
