Index,mol_min,Drug_Name,Zhu_2_class,Source_Zhu,Fourches_2_class,Source_Fourches,LiuR_3_class,LiuR_2_class,Source_LiuR,Source_LiuZ_PLOS_SIDER,LiuZ_SIDER_Combined_Scores,LiuZ_SIDER_2_class,LiuZ_Pfizer_2_class,Source_LiuZ_Pfizer,LiuZ_OBrien_3_class,LiuZ_OBrien_2_class,Source_LiuZ_OBrien,Ekins_2_class,Source_Ekins,Rodgers_Activity,Rodgers_2_class,Source_Rodgers,DILI_3class_Chen,DILI_2class_Chen,Source_Chen,Sum_Score_DILI,Sources_total,DILI_Characterization,DILI_Total_2_class,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCB1_Inhib,BSEP_Inhib,OATP1B1_Sum_Binary,OATP1B3_Sum_Binary,Binary_Characterization
1,BrC(Cl)C(F)(F)F,Halothane,,,,,1,1,LiuR_2015,LiuZ_PLOS_SIDER,1,0,,,,,,,,NA ,,Rodgers,,,,3/4,Zhu  Fourches  LiuR  LiuZ_SIDER  Rodgers(NA),Positive,1,11.087793,1,1,0,0,0,0,0,0,8,0,0,7,6,17.245113,2.1556392,0,1,2,1,3,1,0,0,0,0,0,3.5411971,-2.1609554,-0.16815934,-0.014314667,2.4710751,-2.2923107,0.35296118,0.65266627,2.3941054,-2.0296006,0.1108,0.59822571,2.6164353,6.4122071,0,0,0,7,0,6,3,1,0.16666667,7,0,6.0773501,5.3090982,1.0773503,1.0773503,2.9433756,2.6441689,0.28867513,0.28867513,1,1,1.6852216,3,0,-0.57579631,-0.32815933,-0.17331371,1.6453971,-0.82461953,0.1683479,0.48503697,1.7635109,-0.47829944,-0.049199998,0.40612909,1.8686388,7,1.8518518,2.6666667,11.15408,3.1990712,5.0179791,5.0975285,0,0,1,0,2.36112,-2.41307,2.3564184,1,1,0,1,0,0,0,1.54,-1.54,0.66604131,-0.66604131,0.62363118,0.25247586,0,4.2653861,0,1.009824,0,0,9.0455017,0,43.624847,29.581947,35.725906,0,0,0,0.92661053,0.88381082,0,0.073389463,0.11618917,0.073389463,114.20792,108.9327,0,9.0455017,14.320712,9.0455017,0.33333334,0.5,1.54,-1.54,0.66233766,0.22077923,0.034606636,0.88381082,0.88381082,0.96539336,0.11618917,0.081582531,4.2653861,108.9327,108.9327,118.98803,14.320712,10.055326,2,1,0,0.66233766,0.22077923,1,2.5085001,0,7.7595162,4.5953569,0,0,0,0,0,0,129.98308,2.4623001,0,44.880341,7.7595162,4.5953569,0,0,0,85.102737,0,0.80309099,3.5849626,1.5566567,5.2844763,123.25342,117.12466,0,0,0,0,117.9782,4.5634146,0,197.381,42,6,30,0.5403887,0.0028506848,0.2,0,0,1
2,BrC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorooctylbromide,,,1,Fourches,,,,,,,,,,,,,,,,,,,,1/1,Fourches,Positive,1,26.599001,0,0,2,3,0,0,0,0,26,0,0,26,26,28.724564,1.1047909,0,1,8,0,17,0,0,0,0,0,0,6.6129141,-2.417475,-0.19200809,-0.097437978,2.9320924,-2.7369726,0.42019999,0.59943974,2.6215692,-2.4198823,0.1108,0.43866688,2.9002862,21.740999,6,0.23999999,0,25,0,25,9,7,0.28,25,0,22,12.389357,4,4,10.75,5.9446783,1.75,1.75,0,0,1.7103111,9,0,-0.54191792,-0.3520081,-0.25145364,2.5412238,-0.91198671,0.26019999,0.39943144,2.4522471,-0.51234889,-0.049199998,0.15417472,2.5802457,26,6.25,3.3378685,25.326487,6.0815001,3.2453654,5.9239626,0,0,1,1,8.5680399,-6.7463999,4.2842641,1,1,0,0,0,6,2,6.0100002,-6.0100002,3.1663473,-3.1663473,0.14538412,0.060640391,0,0,0,0,0,0,24.721544,43.624847,0,0,202.44681,0,0,0,0.9087069,0.9087069,0,0.091293074,0.091293074,0.091293074,246.07166,246.07166,0,24.721544,24.721544,24.721544,0.44444445,0.80000001,6.0100002,-6.0100002,0.16971713,0.056572378,0,0.9087069,0.9087069,1,0.091293074,0.091293074,0,246.07166,246.07166,270.79321,24.721544,24.721544,5,1,0,0.16971713,0.056572378,0.46153846,6.3481998,0,20.397556,0,0,0,0,0,0,0,300.27603,4.9611001,0,254.32193,20.397556,0,0,0,0,45.954094,0,0.38054717,5.643856,3.0005181,9.1666908,270.79321,291.73523,0,0,0,0,270.79321,0,0,498.95798,1381,63,146,0.5670073,0.0028939934,0.9,0,0,1
3,BrC1=CNC(=O)NC1=O,5-Bromouracil,,,0,Fourches,,,,,,,,,,,,,,,,,,,,0/1,Fourches,Negative,0,15.894379,1,1,0,0,2,0,0,0,12,2,4,9,3,26.264662,2.1887219,0,1,4,0,0,3,0,2,2,0,0,2.3979058,-2.2884629,-0.56711048,0.54560691,2.302146,-2.6028578,-0.40097904,0.70808679,2.1667321,-1.9603059,-0.32498246,0.80713356,2.6216853,7.8056211,0,0,0,12,3,9,1,0,0,9,0,6.8533711,5.8578076,2.0773504,2.4391575,4.1983771,2.9675791,0.53867513,0.74158162,0,0,1.226344,5,0,-0.79720372,-0.47385669,0.10691514,1.857618,-1.1779779,-0.37742606,0.30723304,1.8034613,-0.42019659,-0.21712507,0.3106502,2.1661983,7.1111112,2.7222223,1.704142,6.0847607,2.2784901,1.3961293,1.5404519,4,2,1,0,-0.213,-1.57213,3.3555114,0,1,6,1,1,0,0,2.3199999,-2.3199999,1.1438301,-1.1438301,0.28568435,0.27385393,16.745916,6.5175939,0,17.238026,0,12.949531,17.440542,43.624847,0,0,0,13.566921,13.703812,0.13689101,0.59275621,0.50049627,0.19311468,0.40724376,0.49950373,0.21412909,84.126381,71.032471,27.407623,57.797699,70.891609,30.390074,0.40000001,0.66666669,2.3199999,-2.3199999,0.2974138,0.24568966,0.47129676,0.61848831,0.19311468,0.52870327,0.38151166,0.33558857,66.888359,87.778389,27.407623,75.035721,54.145695,47.628101,3,0,1,0.2974138,0.24568966,1,0.062100001,36.0215,10.088739,23.862217,0,0,3.0551045,0,17.214357,0,69.816307,3.3684399,47.724434,0,36.0215,3.0551045,0,17.214357,10.088739,45.954094,58.200001,0.7642045,4.1699252,2.0374763,6.0213828,141.92409,155.73445,27.133842,0,0,11.365152,66.176559,30.390074,38.498993,190.98399,84,10,42,0.21803015,0.0045762514,0.2,0,0,0
4,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,Pipobroman,1,Zhu LD,,,,,,,,,,,,,,,,,,,,,,1/1,Zhu,Positive,1,38.172688,0,0,1,2,2,0,0,0,32,0,2,16,10,56.78072,1.7743975,0,2,10,0,0,16,0,2,2,0,0,2.2782962,-2.7303708,-0.20654908,0.050590545,2.6667571,-2.8687437,-0.12789877,0.55630773,2.545733,-2.4482,0.074696049,0.59939069,2.9389095,25.947311,6,0.375,0,32,2,16,3,6,0.375,30,0,11.966255,12.2957,6.6568542,6.8115549,7.6850705,7.6049399,2.7071068,2.8164966,0,0,1.0459057,11,0,-0.85135502,-0.38028762,-0.10940946,2.5234125,-0.97002232,-0.34944323,0.083617188,2.458575,-0.5112831,-0.11122406,0.26791096,2.7729113,14.0625,7.3499999,4.4236112,15.836418,8.3447475,5.0529146,8.2594318,4,0,1,0,0.28200001,-1.82344,7.0076666,1,1,6,1,1,6,0,2.9200001,-2.9200001,1.4062433,-1.4062433,0.15956625,0.24095421,121.78497,34.123089,0,0,25.899061,0,0,0,87.249695,0,0,0,27.133842,0,0.82095009,0.38618213,0.091609374,0.17904988,0.61381787,0.087440506,243.15776,114.38354,27.133842,53.032902,181.80713,25.899061,0.45454547,0.83333331,2.9200001,-2.9200001,0.19486301,0.2260274,0.28916779,0.38618213,0.38618213,0.71083218,0.61381787,0.32465008,85.648804,114.38354,114.38354,210.54187,181.80713,96.158325,6,1,1,0.19486301,0.2260274,1,1.2272,0,16.766195,47.724434,111.23418,0,0,0,0,37.736813,91.908188,6.9981999,47.724434,6.2486277,0,0,0,37.736813,121.75175,91.908188,40.619999,0.54356444,5,3.1387215,7.6593847,296.19067,340.43033,27.133842,0,0,0,231.76904,25.899061,27.133842,356.05798,496,21,72,0.10922672,0.0026397544,0.2,0,0,1
5,Br[C@@H](C(C)C)C(=O)NC(=O)N,Bromisoval,1,Zhu LD,1,Fourches,,,,,,,,,,,,,,,,,,,,2/2,Zhu  Fourches,Positive,1,24.748722,1,1,0,0,2,0,0,0,22,2,4,11,5,40.543972,1.8429079,0,1,6,0,0,11,0,2,2,0,0,3.7551992,-2.5856392,-0.45930287,0.38201928,2.5960484,-2.6872482,-0.27589107,0.51766998,2.6331074,-2.3416512,-0.25043502,0.53542632,2.8557363,15.231277,2,0.2,0,21,2,10,4,4,0.40000001,19,0,9.0165081,8.0125084,4.1547008,4.309401,4.9472647,4.1075258,1.776709,1.8213673,1,0,1.001325,6,0,-0.8010506,-0.39853618,0.047852173,2.2039893,-1.3709102,-0.31561732,0.1383841,2.2238393,-0.52610993,-0.1990156,0.16018876,2.4615138,11,4.7928996,4.4444447,10.494071,4.5491385,4.1992679,4.3399076,4,3,1,0,0.87599999,-1.92191,4.5301433,1,1,0,1,0,2,0,2.6600001,-2.6600001,1.3744814,-1.3744814,0.23283763,0.25587431,29.857702,4.2653861,0,25.857038,12.949531,0,17.440542,0,81.120201,0,0,13.566921,13.703812,6.6511192,0.68691289,0.56005448,0.16514035,0.31308708,0.43994552,0.14794675,141.10033,115.04205,33.921852,64.311928,90.370201,30.390074,0.5,1,2.6600001,-2.6600001,0.25939849,0.30075186,0.3486571,0.3775174,0.3775174,0.65134287,0.6224826,0.2738255,71.618446,77.5467,77.5467,133.79381,127.86555,56.247112,3,1,0,0.25939849,0.30075186,1,0.60079998,50.90794,10.088739,28.142542,0,4.4107962,0,0,0,0,136.46834,4.5279102,47.724434,0,22.421547,4.2803254,32.897186,0,10.088739,112.60612,72.190002,0.64681429,4.321928,2.4891124,6.5994034,205.41226,222.77481,27.133842,0,0,23.425066,106.9025,30.390074,50.558907,223.06999,166,12,46,0.26704642,0.0044384804,0.2,0,0,1
6,Br\C=C\C1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,Brivudine,0,Zhu LD,,,,,,,,,,,,,,,,,,,,,,0/1,Zhu,Negative,0,37.288307,0,0,2,4,5,0,0,0,32,3,8,19,9,60.230896,1.8822155,0,1,11,0,0,13,0,2,5,0,0,1.9921391,-2.5221596,-0.61711609,0.70321542,2.7554851,-2.6727114,-0.66180998,0.5759896,2.6406889,-2.3160009,-0.49727228,0.78620213,2.9642105,21.973692,3,0.15000001,0,33,4,20,4,3,0.15000001,29,0,13.991199,11.408662,6.378315,6.9996357,9.0620804,6.5467391,2.7187619,3.2079082,3,0,0.99070817,10,0,-0.80136716,-0.45011359,0.14639376,2.5536115,-1.169916,-0.41943115,0.13865332,2.4855778,-0.52688044,-0.22821082,0.2375422,2.7825956,15.39,6.6352043,3.3659606,13.73782,5.883369,2.9690251,4.2539296,7,3,1,0,-0.93099999,-1.65165,6.879077,0,1,12,1,2,4,0,4.3600001,-4.3600001,2.3087463,-2.3087463,0.14351973,0.16994835,33.978001,56.187851,14.300869,8.6190128,20.648346,12.949531,17.440542,24.553476,43.624847,0,0,13.566921,13.703812,18.038837,0.65294015,0.40880033,0.16321182,0.34705982,0.5911997,0.18384799,181.26405,113.48789,45.30957,96.347992,164.12415,51.038418,0.5,1,4.3600001,-4.3600001,0.15825687,0.1559633,0.49885428,0.46912161,0.16321182,0.50114572,0.53087837,0.3379339,138.48796,130.23381,45.30957,139.12408,147.37823,93.814522,5,0,2,0.15825687,0.1559633,1,-0.20110001,68.781204,13.213054,53.839226,20.926258,0,3.185575,0,52.370255,18.868406,69.816307,6.7898302,58.724319,53.894768,18.01075,22.162695,0,71.238663,31.014997,45.954094,99.099998,0.5023343,5.321928,3.0420721,8.2081661,277.61206,336.26248,29.637598,0,0,5.6825762,152.57756,43.339603,62.454014,333.138,699,29,96,0.062010992,0.083749592,0.2,0,0,0
7,Brc1[nH]c2c3c1CC1N(CC(C=C1c3ccc2)C(=O)N[C@]1(O[C@@]2(O)N(C(CC(C)C)C(=O)N3C2CCC3)C1=O)C(C)C)C,Bromocriptine,,,,,0,1,LiuR_2015,,,,,,,,,,,,,,,,,1/4,Fourches  LiuR  LiuZ_SIDER  Rodgers,Negative,0,95.55172,0,0,3,5,6,0,9,0,83,3,9,43,27,133.03188,1.6027936,0,1,32,0,0,40,0,5,5,0,0,1.151428,-2.7203164,-0.54753286,0.58121163,2.8865144,-2.8728044,-0.47253177,0.5346145,2.7732677,-2.482374,-0.35848182,0.74246675,3.1097176,57.068279,5,0.10204082,10,89,4,49,5,6,0.12244898,75,0,30.584694,26.901953,20.516144,21.731321,20.36857,16.264891,10.513597,11.924576,6,4,0.8113215,16,0,-0.84952515,-0.40857688,0.046593249,3.2792797,-1.1639259,-0.32188463,0.058313772,3.2352631,-0.53656334,-0.20862782,0.16869709,3.5146177,31.591837,11.312611,4.7454276,27.118015,9.6738281,4.04704,6.1008143,10,3,1,1,5.0999999,-7.10642,16.361883,0,1,33,0,7,5,3,7.198,-7.1999998,3.6901617,-3.6901617,0.076263748,0.09451063,166.40028,36.600922,6.2919211,17.238026,36.223236,18.549088,0,120.54932,111.75542,0,0,0,43.204517,8.0413227,0.81230873,0.50198913,0.090724036,0.18769126,0.4980109,0.096967213,458.83588,283.55057,51.245842,106.01817,281.30347,54.77232,0.5,1,7.198,-7.1999998,0.11947763,0.1125,0.65577757,0.28611508,0.11217739,0.3442224,0.71388489,0.23204502,370.41864,161.61327,63.363853,194.43542,403.24078,131.07156,8,1,7,0.11947763,0.1125,0.58139533,3.19277,43.395977,25.149292,111.31797,36.879158,19.603539,54.391869,0,78.47541,56.605217,179.25815,16.415819,82.58654,34.758167,50.654945,18.317057,7.9026761,146.04636,52.655506,212.15533,118.21,0.29901332,6.6147099,3.7771301,10.58389,564.85406,806.83923,43.204517,0,0,11.365152,404.48306,51.191368,68.136589,654.60596,5950,92,256,0.22018433,0.96472502,1.0,4,4,0
8,Brc1c(Br)c(Br)c2c(C(OC2=O)(c2cc(S(O)(=O)=O)c(O)cc2)c2cc(S(O)(=O)=O)c(O)cc2)c1Br,Buthinioninesulphoxime,,,,,,,,,,,,,,,,1,Ekins,,,,,,,1/1,Ekins,Positive,1,67.887932,0,0,4,6,9,0,18,0,46,8,17,36,23,91.206726,1.9827549,0,4,20,0,0,10,0,0,10,0,2,1.8219653,-2.3824403,-0.78484768,0.74137276,2.5511639,-2.3201804,-0.73868018,0.84540701,2.6417911,-2.1143355,-0.58995986,0.98479879,2.8221538,31.91807,4,0.1025641,18,49,1,39,3,4,0.1025641,30,0,26.955301,25.00778,10.464102,12.248194,16.512615,15.283766,5.9760675,8.1320114,0,0,1.2553349,10,0,-0.75027269,-0.45781893,0.12210996,2.8043599,-0.80757421,-0.4031474,0.22667184,2.9231493,-0.46264696,-0.20291416,0.36145645,3.0950024,28.994083,9.8779297,4.8160586,32.786629,11.209249,5.47857,10.208707,10,4,0,2,5.8579998,-9.1626101,13.878224,0,1,22,0,4,4,3,7.8239999,-7.8260002,3.0615971,-3.0615971,0.1068169,0.11493709,15.63445,72.959007,23.025566,16.917038,20.648346,14.708499,8.3692026,199.0092,24.509808,0,0,64.033043,36.488438,15.535081,0.68782562,0.66344386,0.22674486,0.31217438,0.33655614,0.085429519,352.05508,339.57559,116.05656,159.78261,172.26212,43.726048,0.5,1,7.8239999,-7.8260002,0.19082311,0.087400973,0.61884922,0.7406258,0.22674486,0.38115075,0.25937417,0.15440589,316.75037,379.0802,116.05656,195.08733,132.75748,79.030754,5,1,4,0.19082311,0.087400973,0.30555555,4.2835999,96.631958,104.08884,28.166185,0,36.604515,15.321886,0,105.85911,0,194.30324,13.76793,131.20547,96.631958,15.321886,23.229156,0,105.85911,7.7454643,200.98267,175.5,0.3281796,6.2854023,3.2458479,10.125578,511.83768,632.53082,13.566921,0,0,0,312.47958,40.23782,136.75034,794.03796,3310,75,206,0.25640574,0.10077763,0.9,4,4,1
9,Brc1c(nc(nc1Oc1c(cc(cc1C)C#N)C)Nc1ccc(cc1)C#N)N,Etravirine,1,Zhu LD,,,0,1,LiuR_2015,,,,,,,,,,,,,,,,,2/2,Zhu  LiuR,Positive,1,55.653896,0,0,3,5,4,0,18,0,43,2,6,28,16,72.777687,1.6925044,0,1,20,0,0,15,0,6,1,0,0,1.5537891,-2.3332367,-0.68298334,0.70084441,2.3173604,-2.3306668,-0.59841186,0.80591482,2.4907336,-2.0476351,-0.44523856,0.91269302,2.6156757,23.564104,4,0.13333334,18,45,0,30,2,6,0.2,25,2,20.258783,16.702515,11.464102,13.430357,13.405417,8.9966125,5.4760675,7.5705166,0,0,0.85184222,16,0,-0.78349084,-0.50417936,0.10880985,2.456228,-1.3347977,-0.30003089,0.27177647,2.6170957,-0.4846575,-0.21605732,0.34094691,2.7603142,22.68,10.346939,5.7956104,16.456987,7.4117494,4.1135511,4.3562527,7,3,1,0,3.8069999,-6.7491002,10.978179,1,1,18,1,3,6,1,5.3169999,-5.3179998,1.981679,-1.981679,0.10582109,0.14595668,32.291866,79.066925,39.299809,12.949531,15.681574,0,0,159.06671,0,0,41.167557,5.8194671,9.1548758,0,0.9222914,0.54552478,0.037957937,0.077708617,0.45447522,0.039750677,363.84241,215.2086,14.974342,30.655916,179.2897,15.681574,0.5,1,5.3169999,-5.3179998,0.1354147,0.16923656,0.59463489,0.45047912,0.13596545,0.40536514,0.54952091,0.26939967,234.58246,177.71326,53.638142,159.91586,216.78506,106.27772,8,0,3,0.1354147,0.16923656,0.64285713,4.7174082,43.897076,51.58181,0,95.322205,12.7423,3.0551045,0,105.85911,0,129.64792,10.92891,0,106.68966,3.0551045,56.003822,24.994511,138.75629,0,112.60612,120.64,0.38983503,5.9068904,3.6458654,9.3122663,394.49832,510.99252,46.850132,0,0,23.425066,223.53716,82.924438,70.2752,435.285,2190,45,144,0.67188567,0.43907148,0.4,3,3,1
10,Brc1c2nccnc2ccc1NC=1NCCN=1,Brimonidine,0,Zhu LD,,,,,,LiuZ_PLOS_SIDER,0,0,,,,,,,,I ,0,Rodgers,,,,0/2,Zhu  LiuZ_SIDER  Rodgers,Negative,0,34.57793,1,1,0,0,3,0,10,0,27,2,5,17,11,45.499294,1.685159,0,1,11,0,0,10,0,5,0,0,0,1.59092,-2.393491,-0.65420222,0.69004971,2.4757881,-2.6165967,-0.55121762,0.83364642,2.391638,-2.127656,-0.41917819,0.96225971,2.7657688,17.502069,1,0.052631579,11,29,1,19,2,2,0.10526316,17,0,11.664926,10.529217,6.2236147,7.1293921,8.3433371,6.0829968,2.4940169,3.3164966,0,0,0.93293381,9,0,-0.84504622,-0.42738435,0.091937453,2.2966471,-1.170115,-0.36443087,0.24149504,2.3979666,-0.50483513,-0.18554682,0.31794584,2.6273751,12.055402,5.3254437,2.5599999,9.5097895,4.1335397,1.9615269,2.3122995,5,2,1,0,1.4585299,-2.0613899,6.7689199,0,1,16,1,3,2,0,3.7160001,-3.7160001,1.5453967,-1.5453967,0.12789981,0.2291027,46.684155,62.966724,6.6995511,32.919601,0,0,0,68.134659,0,0,0,0,17.047728,0.27378201,0.92620546,0.36406744,0.073794536,0.073794536,0.63593256,0,217.40469,85.456169,17.32151,17.32151,149.27003,0,0.44444445,0.80000001,3.7160001,-3.7160001,0.14800861,0.22039828,0.61646861,0.36406744,0.073794536,0.38353139,0.63593256,0.30973685,144.70134,85.456169,17.32151,90.024864,149.27003,72.703354,5,0,3,0.14800861,0.22039828,1,1.7634,18.01075,53.480904,0,36.879158,0,19.840633,0,74.003357,0,48.710842,7.11654,0,50.35659,21.065855,0,25.055773,69.71508,38.778248,45.954094,62.200001,0.56150466,5.2479277,2.947526,7.8666224,234.7262,313.1412,17.047728,0,0,11.365152,178.79073,15.681574,28.41288,292.13998,515,24,90,0.32778975,0.10031661,0.2,0,0,0
