Index,mol_min,Chemical name,DILI_2_class,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCG2_Inhib_binary,ABCB1_Inhib,ABCB1_Inhib_binary,BSEP_Inhib,BSEP_Inhib_binary,OATP1B1_Sum_Binary,OATP1B1_binary,OATP1B3_Sum_Binary,OATP1B3_binary,Transporter_Sum_float,Transporter_binary_score,Binary_Characterization
1,ClC(Cl)(Cl)C,1 1 1-trichloroethane,1,12.060379,1,1,0,0,0,0,0,0,8,0,0,5,4,12.490225,1.5612781,0,0,2,3,0,3,0,0,0,0,0,3.0237157,-2.2615955,-0.083667807,0.027019098,2.349838,-2.1975844,0.123,0.68949997,2.4594545,-2.0261478,0.1057,0.58530003,2.6119704,4.5396209,0,0,0,7,0,4,3,0,0,7,0,4.5,4.9016805,1.5,1.5,2,2.2008402,0.5,0.5,0,0,1.205951,2,0,-0.68865079,-0.24366781,-0.1329809,1.5594025,-0.70352173,-0.037,0.52950001,1.7862462,-0.48583317,-0.054299999,0.4253,1.8593676,5,1,0,11.466395,2.8443074,0,6.5227904,0,0,1,0,2.13908,-2.32551,2.4710488,1,1,0,1,0,0,0,0.87,-0.87,0.26898,-0.26898,0.69864935,0.31105584,12.796158,0,0,0,0,0,0,18.747677,88.745842,0,0,0,0,0,1,0.89362216,0,0,0.10637785,0,120.28967,107.49352,0,0,12.796158,0,0.5,1,0.87,-0.87,1,0.33333334,0.26223227,0.7377677,0.7377677,0.7377677,0.26223227,0,31.543835,88.745842,88.745842,88.745842,31.543835,0,1,1,0,1,0.33333334,1,2.3764999,0,0,0,0,0,0,0,0,0,150.77194,2.5964,0,0,0,0,0,0,0,150.77194,0,0.90438145,3,0.9709506,4.25,120.28967,110.62224,0,0,0,0,118.15429,0,0,133.405,16,0,20,0.47763696,0,0.00098303193,0,0,0,0,0,0,0,0.47861999,0,1
2,ClC(Cl)CCl,1 1 2-trichloroethane,1,12.060379,1,1,0,0,0,0,0,0,8,0,0,5,4,12.490225,1.5612781,0,0,2,3,0,3,0,0,0,0,0,2.5395389,-2.2599328,-0.091023639,0.033344705,2.3497789,-2.3181896,0.18121612,0.62194836,2.3637927,-2.0123472,0.15844823,0.53176188,2.613167,4.5396209,1,0.25,0,7,0,4,3,1,0.25,7,0,4.2844572,4.6861372,1.2844571,1.2844571,2.2700555,2.5193393,0.40824831,0.40824831,0,0,1.205951,3,0,-0.67924857,-0.2505483,-0.12606531,1.5590359,-0.83709568,0.0072030919,0.44970822,1.7204721,-0.46117401,-0.0040652822,0.37086773,1.8592366,5,2.25,4,11.466395,6.3996916,15.218684,14.676278,0,0,1,0,1.94636,-1.76711,2.5274017,1,1,0,1,0,1,0,0.87,-0.87,0.32936075,-0.32936075,0.36768189,0.37245676,8.5307722,15.277906,3.2773626,0,0,0,0,0,0,88.745842,0,0,0,0,1,0.76616073,0,0,0.23383926,0,115.83188,88.745842,0,0,27.08604,0,0.33333334,0.5,0.87,-0.87,0.66666669,0.33333334,0.11047181,0.76616073,0.76616073,0.88952821,0.23383926,0.12336744,12.796158,88.745842,88.745842,103.03572,27.08604,14.289883,2,1,0,0.66666669,0.33333334,1,2.0288999,0,0,5.0408592,19.183437,0,0,0,0,0,117.44593,2.6214001,0,0,0,5.0408592,0,0,19.183437,117.44593,0,0.90438145,3,1.5219281,4.1971598,115.83188,110.62224,0,0,0,0,106.86554,6.8309531,0,133.405,18,2,16,0.42266956,0,0.0015016028,0,0,0,0,0,0,0,0.42417115,0,1
3,N(N)(C)C,1 1-dimethylhydrazine,1,11.054344,1,1,0,0,2,0,0,0,12,1,3,4,2,15.01955,1.2516291,0,0,2,0,0,8,0,2,0,0,0,2.3237901,-2.4833477,0.0026445799,0.072637521,2.3247049,-2.7052963,0.059325375,0.1534,2.2037613,-2.1903093,0.10255667,0.11701697,2.6003661,8.745656,0,0,0,11,0,3,4,0,0,11,0,3.5773504,3.0245638,2,2,1.7320508,1.152626,0,0,0,0,0.635867,2,0,-0.88023812,-0.1850699,-0.087362483,1.7283111,-1.3747665,-0.14201166,-0.0066,1.6459886,-0.5128426,-0.07270588,-0.054299999,1.9591472,4,1.3333334,0,4,1.3333334,0,1.3333334,2,2,1,0,-1.33,0.66259003,1.6914413,1,1,0,1,0,0,0,1.26,-1.26,0.52000457,-0.52000457,0.2634725,0.51600099,72.069695,0,17.238026,0,0,0,0,0,0,0,0,0,10.389583,0,0.89578873,0.10421127,0.10421127,0.10421127,0.89578873,0,89.307724,10.389583,10.389583,10.389583,89.307724,0,0.5,1,1.26,-1.26,0.2857143,0.5714286,0.25670019,0.10421127,0.10421127,0.74329984,0.89578873,0.63908857,25.592316,10.389583,10.389583,74.104988,89.307724,63.715405,1,1,0,0.2857143,0.5714286,1,-0.5783,32.774666,3.0017917,0,0,0,65.794373,0,0,0,0,1.7874399,0,3.0017917,0,0,32.774666,0,0,65.794373,29.26,0.95443398,2.5849626,1,3.5032582,99.697304,94.516624,0,0,0,0,67.79892,0,21.480953,60.099998,9,0,12,0.3685225,0,0.0006824474,0,0,0,0,0,0,0,0.36920494,0,1
4,ClC\C=C\Cl,1 3-dichloropropene,1,12.307172,1,1,0,0,0,0,0,0,9,0,0,5,5,13.774438,1.530493,0,0,3,2,0,4,0,0,0,0,0,2.2878823,-2.1593318,-0.29199407,0.28731745,2.1656339,-2.1210375,-0.11447354,0.64224303,2.2566731,-1.8794367,-0.11079416,0.61589813,2.4595056,5.2128282,1,0.25,0,8,1,4,3,1,0.25,7,0,4.1213202,4.1295943,1.8618073,2.1213202,2.4142137,2.198019,0.74158162,1,0,0,0.98036307,4,0,-0.71909434,-0.28890002,-0.034307513,1.540568,-0.75344563,-0.11097624,0.31173798,1.7239364,-0.44022304,-0.10360896,0.29504895,1.8497583,5,4,4,7.6436286,6.8925638,8.1776352,10.536839,0,0,1,0,1.622,-1.39367,2.5501103,1,1,1,1,0,1,0,0.72799999,-0.72799999,0.27163616,-0.27163616,0.27351192,0.4453432,34.109402,8.5307722,0,0,0,0,0,0,41.836849,29.581947,0,0,0,0,1,0.62615675,0,0,0.37384322,0,114.05898,71.4188,0,0,42.640175,0,0.5,1,0.72799999,-0.72799999,0.58791208,0.39835164,0.53664869,0.75386363,0.36680016,0.46335128,0.2461364,0.096551105,61.209602,85.984909,41.836849,52.849369,28.074064,11.01252,2,1,0,0.58791208,0.39835164,1,1.9777,0,0,0,19.183437,0,0,0,35.601398,0,78.297287,2.5713,0,0,0,0,0,35.601398,19.183437,78.297287,0,0.90438145,3,1.8464394,4.1464396,114.05898,113.19378,0,0,0,0,111.21179,0,0,110.971,20,2,14,0.4212907,0,0.0017213476,0,0,0,0,0,0,0,0.42301205,0,1
5,Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2 4-dinitrophenol,1,19.437172,1,1,0,0,1,0,6,0,17,1,2,13,8,32.367455,1.9039679,0,0,6,0,0,4,0,2,5,0,0,2.5624354,-2.1022849,-0.59006065,0.6782434,2.2992206,-2.0348594,-0.50420791,0.68712831,2.4202695,-1.8986069,-0.41552839,0.83646965,2.4884942,6.8848281,2,0.15384616,6,17,2,13,1,2,0.15384616,9,0,10.008072,6.2066846,3.2320509,3.8533711,6.0197444,3.1391511,1.7380339,2.4663265,0,0,0.99411845,6,0,-0.73729002,-0.42974278,0.1318897,2.1118491,-0.81299841,-0.24703147,0.1257048,2.22609,-0.49524021,-0.19770668,0.27520615,2.3150966,11.076923,4.4814816,2.7210884,7.5857816,2.960686,1.7430818,1.7276244,7,1,1,0,1.503,-2.60339,3.8763177,1,1,6,1,1,2,0,3.062,-3.062,1.4062452,-1.4062452,0.21823604,0.25191507,12.254904,33.107128,0,8.458519,10.324173,6.6995511,6.6995511,12.254904,0,0,0,0,67.862099,7.7675405,0.39942035,0.53125435,0.45717454,0.60057962,0.46874565,0.14340512,66.075455,87.884537,75.629639,99.352913,77.543831,23.723274,0.5,1,3.062,-3.062,0.29621163,0.17374265,0.43171853,0.67941397,0.45717454,0.56828147,0.320586,0.11110695,71.418495,112.39435,75.629639,94.00988,53.034019,18.380241,3,1,1,0.29621163,0.17374265,1,1.2086,25.385227,14.171232,0,101.87002,0,0,0,52.929554,0,10.756924,4.1415601,14.171232,25.385227,101.87002,5.2434282,5.513495,52.929554,0,0,111.87,0.6193822,4.7004399,2.4961061,7.1105013,165.42838,185.19624,0,0,0,0,77.339172,67.862099,13.566921,184.10699,240,18,62,0.18345936,0,0.0048863362,0,0,0,0,0,0,0,0.18834569,0,1
6,O(CCO)CC,2-ethoxyethanol,1,15.31193,1,1,0,0,2,0,0,0,16,1,3,6,4,20.78072,1.298795,0,0,4,0,0,10,0,0,2,0,0,2.3390923,-2.4905193,-0.15682538,0.058250539,2.4488883,-2.5616145,0.026862994,0.123,2.4094481,-2.2546859,0.1057,0.10710008,2.6695879,12.84807,3,0.60000002,0,15,0,5,7,3,0.60000002,15,0,4.8284273,3.9767823,3.1213202,3.1213202,2.9142137,2.1006849,1.2071068,1.2071068,0,0,0.6890251,5,0,-0.81296504,-0.318643,-0.10174946,1.9216998,-0.90882707,-0.19434689,-0.037,1.901756,-0.51991433,-0.10021751,-0.054299999,2.1180699,6,5,5.3333335,6,5,5.3333335,5,2,1,1,0,-0.145,0.14215,2.4428031,0,1,0,1,0,3,0,1.24,-1.24,0.81209219,-0.81209219,0.2579681,0.48362139,27.747452,55.494904,0,0,10.324173,0,0,18.747677,0,0,0,0,0,10.271297,0.83199096,0.23672436,0.083788835,0.16800901,0.76327562,0.084220178,101.99003,29.018974,10.271297,20.595469,93.566528,10.324173,0.40000001,0.66666669,1.24,-1.24,0.32258064,0.54838711,0.46609226,0.083788835,0.083788835,0.53390777,0.91621119,0.4501189,57.13615,10.271297,10.271297,65.449348,112.3142,55.178051,3,0,0,0.32258064,0.54838711,1,0.0152,25.385227,0,10.999887,62.778774,0,0,0,0,0,33.326015,2.3578801,10.999887,25.385227,0,0,0,0,62.778774,33.326015,29.459999,0.85240519,3.321928,2.1492555,4.7043028,122.5855,130.79639,2.503756,0,0,0,95.58387,0,16.070677,90.122002,35,3,18,0.29670388,0,0.0025167677,0,0,0,0,0,0,0,0.29922065,0,1
7,Oc1cc2c(cc1)cccc2,2-naphthol,1,23.736343,1,1,0,0,1,0,10,0,19,1,2,11,10,23.491343,1.2363864,0,0,10,0,0,8,0,0,1,0,0,1.97184,-2.2141881,-0.7180959,0.766451,2.1644719,-1.9955276,-0.6091466,0.83100832,2.4019568,-1.8652775,-0.55781209,0.93179619,2.5220423,8.745656,0,0,11,20,0,12,1,0,0,9,0,7.6817985,5.9886656,5.5414519,6.6817985,5.3601732,3.538991,3.3153841,4.7828231,0,0,0.68847436,6,0,-0.76526195,-0.42478648,0.11014568,2.1508515,-0.76166147,-0.29015294,0.16694099,2.3678677,-0.42996144,-0.23153542,0.23609814,2.4847724,7.6388888,3.1640625,1.6,5.0985627,2.0149336,0.97635752,0.9339332,1,1,1,0,2.8570001,-2.90081,4.5059628,0,1,11,1,2,0,0,1.582,-1.582,0.73047239,-0.73047239,0.2974973,0.49257654,0,38.316223,0,0,10.324173,0,0,28.926888,61.274521,0,0,0,0,7.7675405,0.87659919,0.66823125,0.052981209,0.12340082,0.33176872,0.07041961,128.51762,97.968948,7.7675405,18.091713,48.640392,10.324173,0.5,1,1.582,-1.582,0.28445005,0.33628318,0.87659919,0.63810307,0.052981209,0.12340082,0.36189696,0.07041961,128.51762,93.551865,7.7675405,18.091713,53.057472,10.324173,3,0,2,0.28445005,0.33628318,1,2.5453999,25.385227,0,0,0,0,0,0,128.64822,0,5.2434282,4.5612798,0,25.385227,0,5.2434282,5.1459289,123.50229,0,0,20.23,0.71860999,4.5849624,2.2845867,6.6107807,146.60934,209.40939,0,0,0,0,123.53506,0,13.566921,144.17299,144,14,56,0.34939176,0,0.0087950826,0,0,0,0,0,0,0,0.35818684,0,1
8,O=[N+]([O-])C(C)C,2-nitropropane,1,12.651551,1,1,0,0,0,0,0,0,13,0,0,6,4,21.699345,1.6691804,0,0,3,0,0,7,0,1,2,0,0,3.077395,-2.4218497,-0.264079,0.029538207,2.5649292,-2.5197327,0.033500001,0.123,2.4980516,-2.2841957,0.1057,0.33669999,2.6985388,8.9084492,1,0.2,0,12,1,5,4,1,0.2,11,0,5.1547008,3.8410604,2.5773504,2.5773504,2.6427345,1.7780478,1.1547005,1.1547005,0,0,0.80202979,3,0,-0.70270842,-0.31948984,-0.1304618,1.9486738,-0.90719795,-0.1265,-0.037,1.9239163,-0.54588771,-0.054299999,0.1767,2.092428,6,2.2222223,3,4.9164119,1.733986,2.2270186,1.4208316,3,0,1,0,0.99000001,-1.00567,2.1579251,1,1,0,1,0,1,0,1.04,-1.04,0.52815801,-0.52815801,0.39654315,0.5,67.115707,0,4.2653861,0,3.1459606,0,0,0,0,0,0,0,33.931049,0,0.65814441,0.31284937,0.31284937,0.34185559,0.68715066,0.02900623,71.381088,33.931049,33.931049,37.077007,74.527054,3.1459606,0.33333334,0.5,1.04,-1.04,0.76923078,0.5,0.6210053,0.31284937,0.31284937,0.37899467,0.68715066,0.066145308,67.353058,33.931049,33.931049,41.105042,74.527054,7.1739945,2,1,0,0.76923078,0.5,0,0.67150003,0,7.0856161,3.9819686,50.935009,0,0,0,0,0,66.652031,2.2130401,7.0856161,0,50.935009,3.9819686,0,0,0,66.652031,45.82,0.85240519,3.321928,1.5655962,4.7883415,108.4581,111.08565,0,0,0,0,69.544487,33.931049,0,89.094002,29,4,22,0.26094598,0,0.0016033483,0,0,0,0,0,0,0,0.26254931,0,1
9,OC(C#N)(C)C,Acetone cyanohydrin,1,13.609551,1,1,0,0,2,0,0,0,13,1,3,6,3,20.454231,1.5734024,0,0,4,0,0,7,0,1,1,0,0,3.2387245,-2.4653575,-0.034666993,0.026740659,2.5068781,-2.5097046,-0.061878186,0.123,2.4895141,-2.258395,0.1057,0.17656773,2.7086613,8.3124495,0,0,0,12,0,5,4,1,0.2,11,1,5.2071066,3.8944273,3,3.2071068,2.5606601,1.6972136,1.25,1.3535534,0,0,0.70256615,3,0,-0.76669133,-0.1835673,-0.13325934,1.9040456,-0.87916559,-0.28985411,-0.037,1.9060354,-0.5192374,-0.054299999,-0.028928472,2.0977714,6,1.6326531,5.3333335,4.5110321,1.1429511,3.469312,0.85931498,2,1,1,0,-0.046999998,-0.41979,2.3559921,0,1,0,1,0,1,0,1.237,-1.237,0.61450636,-0.61450636,0.34408385,0.61029464,25.592316,20.299505,0,0,10.324173,0,0,37.495354,0,0,17.742489,0,0,7.7675405,0.8482511,0.52847385,0.065152243,0.1517489,0.47152612,0.086596653,101.12967,63.005386,7.7675405,18.091713,56.215996,10.324173,0.33333334,0.5,1.237,-1.237,0.38803557,0.54971707,0.52916408,0.21397194,0.21397194,0.47083592,0.78602809,0.25686398,63.087669,25.510031,25.510031,56.133709,93.711349,30.623678,2,0,0,0.38803557,0.54971707,1,0.280884,25.385227,0,0,47.661102,0,0,0,0,0,66.652031,2.1910801,0,56.444584,0,16.601746,0,0,0,66.652031,44.02,0.85240519,3.321928,1.5058231,4.7979026,119.22138,121.13593,17.742489,0,0,0,58.816898,20.299505,31.30941,85.105995,28,3,24,0.52614534,1,0.0018524313,0,0,0,0,0,0,0,0.52799779,1,1
10,S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)CCO)cc(cc2)C(=O)C,Acetophenazine,1,67.620995,0,0,3,4,4,0,12,0,58,1,5,29,23,88.084633,1.5187006,0,0,23,0,0,29,0,3,2,0,1,1.3273447,-2.7987821,-0.66049707,0.6605193,2.6941938,-2.9128628,-0.50464284,0.66316116,2.6257539,-2.5147774,-0.44261339,0.863478,2.9698148,40.881004,7,0.21875,12,61,1,32,4,7,0.21875,48,0,20.216969,17.827261,14.405413,15.77781,14.152199,11.221289,6.8153839,8.5268402,0,0,0.72133732,15,0,-0.85830867,-0.41143569,0.062785648,2.8334138,-0.96576941,-0.31458446,0.13748579,2.903187,-0.52268666,-0.1856273,0.20147252,3.1113832,22.203125,10.543388,5.4375181,18.796049,8.8696499,4.5532117,5.7487717,5,1,1,0,2.7160001,-3.99632,11.889077,0,1,22,1,4,9,0,4.6929998,-4.6919999,1.9776803,-1.9776803,0.10590724,0.19909546,197.36545,53.339767,0,8.458519,10.324173,0,0,76.468605,56.52533,0,0,0,13.566921,7.7675405,0.92530107,0.36413983,0.050338935,0.074698955,0.63586015,0.024360018,392.15768,154.3284,21.334461,31.658634,269.48792,10.324173,0.46666667,0.875,4.6929998,-4.6919999,0.090134241,0.17263427,0.60554767,0.2993736,0.096964367,0.39445233,0.70062643,0.29748797,256.64096,126.87941,41.095078,167.17534,296.93689,126.08026,8,1,4,0.090134241,0.17263427,1,3.4919,28.509541,11.936239,0,150.00331,27.047791,3.1014678,0,123.50229,18.868406,71.059052,11.86013,23.862217,31.633854,6.2257819,3.185575,5.513495,142.3707,155.69092,65.545555,47.02,0.38828552,6,3.6718662,9.413065,423.81631,570.56525,13.566921,0,0,0,363.76889,8.458519,27.133842,411.57001,2410,47,152,0.86893463,1,0.91207623,1,0.5,1,0,0,1,0,3.2810109,3,1
