Index,mol,P (DILI=Negative),P (DILI=Positive),Prediction (DILI),True_Class_vDILIConcern,Binary_characterization,LTKBID,PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,SMILES,URL (accessed on 1/21/2016),VER_DISP (1=LTKB-BD  2=others),apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCB1_Inhib,BSEP_Inhib,OATP1B1_Sum_Binary,OATP1B3_Sum_Binary,Transporter_binary_score,Transporter_Sum_float,Binary_Characterization
1,OC1=C2[C@H](C[C@@H]3[C@@](O)(C(=O)\C(=C(/O)\N)\C(=O)[C@H]3N(C)C)C2=O)[C@](O)(c2c1c(O)ccc2)C,0.14,0.86000001,Positive,Positive,1,LT00036,5353990,tetracycline,1953,Less-DILI-Concern,2,Warnings and precautions,Yes,vLess-DILI-Concern,OC12C(CC3C(C1=O)=C(O)c1c(cccc1O)C3(O)C)C(N(C)C)C(=O)/C(=C(/O)\N)/C2=O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eaa5b1bd-0927-46e4-b941-32fcc492d258,1,62.672237,0,0,3,4,5,3,6,1,55,4,9,32,17,89.825363,1.6331885,0,0,22,0,0,23,0,2,8,0,0,1.8234035,-2.7910974,-0.6822902,0.58946145,2.8804505,-3.4885314,-0.67903692,0.56729031,2.822793,-2.5837584,-0.51236397,0.84055239,3.0874395,30.593761,1,0.028571429,6,58,5,35,4,1,0.028571429,47,0,23.911331,17.631441,13.171208,14.333981,14.772521,10.067339,6.7985473,8.2430353,5,5,0.82106972,11,-1,-1.0511914,-0.46553996,0.058787677,3.1349087,-2.2598915,-0.41747648,0.061907243,3.0980945,-0.6304093,-0.25108626,0.19428097,3.3684063,25.103674,8.2936983,3.3703513,19.826143,6.4972134,2.6252315,4.0254588,10,6,1,1,0.072999999,-2.8880301,10.874104,0,1,22,0,4,2,2,0,0,3.4682586,-4.4682584,0.10049488,0.18538813,29.857702,95.532913,4.2653861,11.60448,47.889557,0,8.6190128,63.567539,37.459339,8.458519,0,0,40.700764,57.087582,0.61906022,0.51173294,0.2414272,0.38093978,0.48826706,0.1395126,250.74588,207.27374,97.788345,154.29692,197.76904,56.508572,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,405.04279,0,0,0,405.04279,0,6,0,4,0,0,0.3125,-1.7316,112.17718,17.062834,160.9353,0,15.192742,72.165527,0,52.929554,18.868406,38.569443,10.54675,160.07765,76.155678,8.8215923,21.967697,32.897186,71.797958,17.062834,99.120392,188.48,0.3597711,6.129283,3.1898572,9.7707081,405.04279,540.06622,67.834602,40.700764,0,17.742489,188.85066,46.783607,126.27785,443.43198,2350,76,186,0.094117299,0.29538062,0,0,0,0,0.3894979208713001,1
2,OC1=C2[C@@H]([C@H](c3c1c(O)ccc3)C)[C@H](O)[C@@H]1[C@@](O)(C(=O)\C(=C(/O)\N)\C(=O)[C@H]1N(C)C)C2=O,0.16,0.83999997,Positive,Positive,1,LT00393,5281011,doxycycline,1967,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,OC1=C2[C@@H]([C@H](c3c1c(O)ccc3)C)[C@H](O)[C@@H]1[C@@](O)(C(=O)\C(=C(/O)\N)\C(=O)[C@H]1N(C)C)C2=O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ae0ff63-c577-478e-9fa0-b7c22a8e7de4,1,62.672237,0,0,3,4,5,3,6,1,55,4,9,32,17,89.825363,1.6331885,0,0,22,0,0,23,0,2,8,0,0,1.8368785,-2.7891707,-0.66101736,0.59483951,2.8918738,-3.4900918,-0.59827036,0.55855238,2.7706819,-2.5857728,-0.46572137,0.79474336,3.0913367,30.593761,1,0.028571429,6,58,5,35,4,1,0.028571429,47,0,23.858925,17.579035,13.118802,14.281574,14.866709,10.112784,6.809401,8.2598724,6,6,0.82106972,11,-1,-1.0512425,-0.47808006,0.064106636,3.1408823,-2.2598999,-0.44397187,0.060066197,3.0747466,-0.63044471,-0.23998404,0.18620381,3.3725796,25.103674,8.5872574,3.3703513,19.826143,6.7271857,2.6252315,4.167942,10,6,1,1,-0.31799999,-2.93574,10.89665,0,1,22,0,4,2,2,0,0,3.5125821,-4.5125818,0.099227034,0.18356737,25.592316,104.70322,4.2653861,11.60448,47.889557,0,8.6190128,36.118549,56.207016,8.458519,0,0,40.700764,57.087582,0.61545599,0.49488899,0.24371146,0.38454404,0.50511104,0.14083259,246.94949,198.57243,97.788345,154.29692,202.67398,56.508572,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,401.2464,0,0,0,401.2464,0,6,0,4,0,0,0.3125,-2.1763,112.17718,17.062834,167.40395,0,15.192742,72.165527,4.4107962,52.929554,0,38.569443,10.55845,160.07765,76.155678,8.8215923,32.847141,32.897186,52.929554,17.062834,99.120392,188.48,0.3597711,6.129283,3.1767395,9.7729616,401.2464,540.06622,67.834602,40.700764,0,17.742489,183.70923,46.783607,126.27785,443.43198,2336,76,184,0.10434086,0.32767642,0,0,0,0,0.4320172742,1
3,OC(=O)[C@@H](N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)C(=O)CCCC)C(C)C,0.36333334,0.63666666,Positive,Positive,1,LT01857,60846,valsartan,1996,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,OC(=O)[C@@H](N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)C(=O)CCCC)C(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5ddba454-f3e6-43c2-a7a6-58365d297213,2,68.149414,0,0,1,3,1,6,17,0,59,0,1,32,21,92.290352,1.5642432,0,0,24,0,0,27,0,5,3,0,0,1.5884377,-2.6872454,-0.55608302,0.57194895,2.6446598,-2.7446983,-0.50466198,0.64139414,2.6920624,-2.4204662,-0.40353647,0.74712944,2.9098666,35.69059,11,0.32352942,17,61,2,34,6,11,0.32352942,42,0,23.087212,18.562742,15.10193,16.681435,15.417923,10.797259,8.3396397,10.29446,1,1,0.73264003,15,-2,-0.88523608,-0.42456573,0.034747534,2.7663832,-1.4901419,-0.3275328,0.084576443,2.8526061,-0.53175259,-0.20503172,0.1835968,3.0428381,26.602076,13.185255,7.25,19.730377,9.6783104,5.282795,5.9673972,8,0,1,0,4.9070001,-6.7386398,12.351348,0,1,17,1,3,10,0,0,0,1.5926188,-3.5926189,0.1408364,0.15244415,92.348351,75.964272,0,0,12.949531,0,0,15.326932,162.98358,0,0,0,58.728004,27.133842,0.77816856,0.59306663,0.19275975,0.22183144,0.40693334,0.029071683,346.62314,264.17236,85.861847,98.811378,181.26215,12.949531,0.46666667,0.875,0,0,0,0,1,0,0,0,1,0,445.43451,0,0,0,445.43451,0,8,0,3,0,0,1,2.7225001,59.223827,59.713604,51.706402,0,7.5963712,0,0,153.03012,56.605217,118.41763,11.7932,90.407776,69.531296,4.4107962,7.1675434,11.884645,216.19026,6.7227917,99.978043,99.110001,0.35236704,6.0874629,3.6993654,9.7124567,445.43451,591.7121,85.861847,72.29493,0,0,300.16055,38.848595,85.861847,433.51199,3122,49,160,0.073640838,0.68740588,0.69999999,3,2,0,0.14799738163081,1
4,OC(=O)CC1(CCCCC1)CN,0.60000002,0.40000001,Negative,Positive,1,LT00300,3446,gabapentin,1993,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,OC(=O)CC1(CCCCC1)CN,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cff7de45-148b-4e96-88fd-6052bf75b5f7,2,29.87948,1,0,0,1,0,2,0,1,29,0,0,12,8,40.865257,1.4091468,0,0,9,0,0,17,0,1,2,0,0,2.4815419,-2.8394556,-0.35769007,0.34494817,2.8143873,-3.2983809,-0.27927497,0.2142,2.9015818,-2.6036167,0.032090001,0.13630791,3.0504284,19.180519,3,0.25,0,29,1,12,5,3,0.25,28,0,9.0270977,7.473351,5.9497476,6.0270977,5.684269,4.6760154,3.767767,3.8224618,0,0,0.70258993,6,0,-0.86288625,-0.36505058,0.14982457,2.6829493,-2.2350252,-0.2670356,0.054200001,2.7259603,-0.64217442,-0.12858172,-0.054299999,2.8842585,10.083333,4.296875,2.7777777,9.3023129,3.932668,2.5264907,3.0485756,3,3,1,0,1.119,-1.4446501,4.7595859,0,1,6,1,1,5,0,0,0,1.7039205,-1.7039205,0.20244382,0.32266739,65.893135,21.723097,0,0,0,0,25.857038,26.103939,26.103939,0,0,0,0,28.239277,0.72103858,0.41484621,0.14562301,0.27896142,0.58515376,0.13333841,139.82411,80.447159,28.239277,54.096313,113.47327,25.857038,0.5,1,0,0,0,0,1,0,0,0,1,0,193.92043,0,0,0,193.92043,0,3,0,1,0,0,0,-0.68120003,75.580528,1.4640081,23.862217,18.439579,0,0,0,0,113.21043,0,4.28971,66.545563,0,32.897186,0,0,113.21043,19.903585,0,67.769997,0.65002245,4.5849624,2.4121423,6.8762913,193.92043,243.72681,27.133842,27.133842,17.742489,17.742489,115.15047,14.708499,44.876331,171.23999,193,15,56,0.14520067,0.0027967119,0,0,0,0,0.12439775885978,1
5,Clc1nc(C(=O)\N=C(\N)/N)c(nc1N)N,0.46000001,0.54000002,Positive,Positive,1,LT02070,16231,amiloride,1981,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,Clc1nc(C(=O)N=C(N)N)c(nc1N)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=135f9cb8-17b6-e99a-57c3-2d992eddb8ef,2,26.576344,0,0,2,3,4,0,6,0,23,4,8,15,2,44.880665,1.9513333,0,0,6,1,0,8,0,7,1,0,0,2.5567071,-2.2103117,-0.5756889,0.51229888,2.2072926,-2.6488049,-0.45436931,0.58065492,2.2113018,-1.862542,-0.27937648,0.7646147,2.5074155,11.443656,2,0.13333334,6,23,2,15,2,2,0.13333334,15,0,11.585422,8.1931839,3,3.4641016,6.9135914,4.0174122,0.75,1,0,0,0.93784654,8,0,-0.83958071,-0.47107384,0.055645194,2.073786,-1.3840858,-0.42188233,0.18434298,2.0772519,-0.43320933,-0.1834901,0.28899521,2.3684659,13.066667,5.3650794,3.5,8.976737,3.5760517,2.2753899,2.140085,8,8,1,1,-0.68946999,-0.81276,5.1416969,1,1,7,1,1,1,1,0,0,2.247983,-2.247983,0.13425773,0.16448648,0,0,56.857178,65.867935,0,0,12.949531,0,29.581947,0,5.6825762,11.365152,26.86916,13.302238,0.71014327,0.39015976,0.23165023,0.28985673,0.60984021,0.058206491,157.98964,86.801071,51.536552,64.486084,135.67464,12.949531,0.5,1,0,0,0,0,1,0,0,0,1,0,222.47572,0,0,0,222.47572,0,4,0,1,0,0,1,-1.2920001,131.58875,40.728935,0,0,26.618963,16.78553,3.0717793,0,0,43.804485,5.6007099,23.862217,50.35659,0,5.8285265,70.450218,65.794373,7.1578765,39.148643,159.28999,0.56650949,4.9068904,2.7802076,7.5177655,222.47572,244.84923,30.614649,0,0,70.969955,36.281498,60.022987,101.58461,229.631,368,21,72,0.11724619,0.0071515706,0,0,0,0,0.2417114824056,1
6,s1c(cnc1N/C(/O)=C/1\N(S(=O)(=O)c2c(cccc2)C\1=O)C)C,0.079999998,0.92000002,Positive,Positive,1,LT00117,54677470,meloxicam,2000,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,s1c(cnc1NC(=O)C=1N(S(=O)(=O)c2c(cccc2)C=1O)C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=06a401f0-4380-4081-86ed-a309a25abf6b,2,44.949516,0,0,2,3,4,1,11,0,35,1,5,23,12,68.447502,1.9556428,0,0,14,0,0,12,0,3,4,0,2,1.7472548,-2.4976926,-0.55320936,0.55157775,2.5220737,-2.5820446,-0.48663568,0.64804709,2.4680512,-2.1659896,-0.37081531,0.73071057,2.8643274,27.750484,2,0.079999998,11,37,2,25,2,2,0.079999998,24,0,16.775656,13.863662,8.3867512,9.5769854,10.819405,8.8117399,3.3660254,4.6354284,0,0,0.88777626,11,-1,-0.8905257,-0.45816329,0.022970052,2.4883597,-0.91809922,-0.41500446,0.13439144,2.52688,-0.4834781,-0.18499906,0.16558433,2.8025639,17.811199,6.7188368,3.2544379,15.004916,5.6135039,2.7020061,3.6621807,7,1,1,0,1.378,-3.68961,8.7268648,0,1,17,1,3,2,0,0,0,1.4399261,-2.4399261,0.20369698,0.15817255,69.52137,28.026482,2.2085397,28.219137,0,4.1846013,0,54.241272,58.606949,0,0,32.016521,13.566921,19.386389,0.77690548,0.57364696,0.20959486,0.22309452,0.42635301,0.013499664,240.82375,177.81805,64.969833,69.154434,132.16013,4.1846013,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,309.97818,0,0,0,309.97818,0,6,0,3,0,0,1,1.98002,0,90.174141,49.324085,0,28.406193,37.20467,0,87.787094,0,65.104446,8.3907499,114.71725,18.30409,1.5507339,7.3007236,18.511497,87.787094,5.6876111,104.14163,102.43,0.45137304,5.643856,3.160224,8.7701368,309.97818,394.69293,64.832939,13.566921,0,5.6825762,183.8793,44.680283,70.515518,350.39899,1115,41,126,0.022289604,0.21942188,0,0,0,0,0.1388664357365,1
7,S(OC[C@]12OC(O[C@H]1[C@@H]1OC(O[C@@H]1CO2)(C)C)(C)C)(=O)(=O)N,0.50999999,0.49000001,Negative,Positive,1,LT00455,5284627,topiramate,1996,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,S(OC[C@]12OC(O[C@H]1[C@@H]1OC(O[C@@H]1CO2)(C)C)(C)C)(=O)(=O)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a48b6716-cf81-e694-c0c7-92c87e9d37ce,2,45.538654,0,0,2,3,8,0,0,0,43,1,9,22,9,74.071167,1.7225853,0,0,12,0,0,21,0,1,8,0,1,1.8424618,-2.6616616,-0.18403573,0.09222462,2.8872013,-2.8602803,-0.3339,0.2142,2.734916,-2.4747906,0.077739999,0.10756686,3.0748906,40.269348,3,0.125,0,45,0,24,5,3,0.125,45,0,16.388905,13.714346,8.6462641,8.6462641,9.9167624,8.4334526,3.7171435,3.7171435,4,4,0.88840181,9,0,-0.78968227,-0.31608006,-0.067775376,2.8941009,-1.3482965,-0.38210589,-0.037,2.815196,-0.53128737,-0.11297636,-0.054299999,3.0873015,16.84375,4.9970255,3.2986112,18.056641,5.375,3.5568035,4.4115658,9,2,1,0,1.4859999,-2.6786301,7.2926731,0,1,14,1,3,3,1,0,0,2.2268438,-2.2268438,0.094607539,0.15414315,59.715405,53.516251,29.666079,2.2170887,16.214136,0,0,74.990707,32.016521,9.0437498,0,4.945097,0,12.518781,0.88577676,0.45283249,0.059230942,0.11422323,0.54716748,0.054992288,261.1658,133.51486,17.463877,33.678013,161.32896,16.214136,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,294.84381,0,0,0,294.84381,0,5,1,3,0,0,1,-0.39539999,31.291433,48.171688,91.295425,41.852516,0,0,0,0,0,133.30406,7.1604199,111.71654,0,0,19.405949,31.291433,0,41.852516,141.64868,115.54,0.46637034,5.5849624,2.9934089,8.6553698,294.84381,381.99493,49.4804,0,0,20.13512,187.12631,18.431225,69.615524,339.36499,948,35,130,0.082067475,0.056798961,0,0,0,0,0.6184014789759,1
8,S(=O)(=O)(N)c1ccc(cc1)-c1c(noc1C)-c1ccccc1,0.28,0.72000003,Positive,Positive,1,LT01971,119607,valdecoxib,2001,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,S(=O)(=O)(N)c1ccc(cc1)-c1c(noc1C)-c1ccccc1,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=caf64301-262c-45ca-acd1-a9d6696c584e,2,45.001102,0,0,1,2,3,0,17,0,36,1,4,22,15,62.059444,1.7238734,0,0,16,0,0,14,0,2,3,0,1,1.6262522,-2.3248777,-0.63312429,0.69089603,2.3700113,-2.5719004,-0.53807992,0.80591482,2.4725296,-1.9838425,-0.49986199,0.85906303,2.7246134,23.036898,3,0.125,17,38,0,24,3,3,0.125,21,0,15.742276,12.670206,9.1961527,10.828063,10.465345,8.1618347,5.2320509,7.3601732,0,0,0.79774082,11,0,-0.80107081,-0.39122307,0.068275489,2.485878,-1.3482711,-0.30995259,0.16445385,2.6154439,-0.48382166,-0.20816517,0.21060649,2.7791119,16.84375,6.8571429,3.7530863,13.288906,5.3445201,2.8994508,3.2283101,5,2,1,0,2.717,-5.3927898,8.5849533,0,1,17,1,3,3,0,0,0,1.4932313,-1.4932313,0.18876222,0.24022478,66.858139,40.597015,15.158071,0,0,4.1846013,0,45.466026,72.159782,0,9.0437498,32.016521,0,5.9023595,0.8555063,0.56484628,0.1301327,0.14449371,0.43515375,0.014361011,249.28278,164.58844,37.918884,42.103485,126.79783,4.1846013,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,291.38626,0,0,0,291.38626,0,6,0,3,0,0,1,2.9644201,31.291433,67.768288,6.6407428,0,5.4488211,11.284855,0,171.10213,0,33.326015,8.3485203,57.905807,19.596598,1.5507339,5.4488211,43.604908,158.78867,0,39.966759,86.190002,0.46637034,5.5849624,3.2458782,8.621172,291.38626,394.06909,42.901787,0,0,20.13512,189.19467,24.466488,63.036903,314.36499,1057,34,118,0.046438318,0.27196315,0.30000001,0,0,0,0.1351218633353,1
9,S(=O)(=O)(N(C)c1nc(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(n1)C(C)C)C,0.15000001,0.85000002,Positive,Positive,1,LT01928,6439133,rosuvastatin,2003,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,S(=O)(=O)(N(C)c1nc(-c2ccc(F)cc2)c(\C=C\[C@H](O)C[C@@H](O)CC(O)=O)c(n1)C(C)C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb0f3b5e-4bc6-41c9-66b9-6257e2513512,2,69.625999,0,0,2,4,6,2,12,0,62,2,8,33,21,109.90656,1.7726865,0,0,22,0,1,29,0,3,6,0,1,2.1676097,-2.6654396,-0.56080991,0.54440445,2.6561093,-2.6932251,-0.50324309,0.54790062,2.6771533,-2.4289787,-0.37306702,0.69891226,2.8924837,45.918003,11,0.32352942,12,63,1,34,7,11,0.32352942,50,0,24.921921,19.84165,14.369879,15.430357,15.28962,12.306186,6.8548427,8.0705166,2,2,0.80306017,14,-1,-0.85014904,-0.40611812,0.048204336,2.8336771,-1.4898061,-0.3975524,0.05032216,2.9164708,-0.53002709,-0.19674611,0.16230597,3.1154003,29.231834,12.807997,8.8642664,24.934311,10.868161,7.4932246,8.2118216,9,2,1,0,1.529,-4.3818302,12.296801,0,1,12,0,2,10,2,0,0,2.4893689,-3.4893689,0.085234605,0.15754551,139.10703,35.402172,21.817003,10.105608,41.372086,0,0,68.429932,94.021683,0,0,11.908636,0,54.034073,0.77464259,0.47962028,0.13847744,0.2253574,0.52037972,0.086879961,368.88342,228.39433,65.942711,107.3148,247.80389,41.372086,0.5,1,0,0,0,0,1,0,0,0,1,0,476.19821,0,0,0,476.19821,0,7,0,2,0,0,1,0.98637003,94.972359,83.206757,52.561275,0,5.9423227,83.456764,4.4107962,76.51506,56.605217,83.511238,11.93374,114.71725,99.301628,10.639579,23.290417,7.8414154,146.04636,1.4640081,137.88113,143.75,0.33706582,6.0874629,3.6391225,9.8270016,476.19821,600.8927,70.515518,27.133842,0,0,308.44006,40.495682,97.649361,482.55298,3228,51,166,0.081267335,0.52071762,0.69999999,2,2,0,0.1216015331451,1
10,s1c(nnc1SCC=1CS[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)Cn1nnnc1)C,0.34,0.66000003,Positive,Positive,1,LT01171,656510,cefazolin,1973,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,s1c(nnc1SCC=1CSC2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)Cn1nnnc1)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a43260a4-f4ec-4331-aa80-02e584be7af5,2,54.016308,0,0,2,4,7,2,10,0,42,1,8,29,13,88.313759,2.1027086,0,0,14,0,0,13,0,8,4,0,3,1.3038719,-2.693891,-0.55462128,0.45797163,2.7301552,-2.8955569,-0.53909218,0.43863264,2.6225903,-2.4018812,-0.27619281,0.76499259,3.0196092,30.82369,7,0.21875,10,45,4,32,3,8,0.25,31,0,20.543242,17.291094,8.3533716,9.02458,13.935561,11.099367,2.6826687,3.1354284,2,2,0.96237308,16,-1,-0.83022439,-0.49701017,0.024197774,2.5572269,-1.4899576,-0.46172598,0.096499175,2.5399163,-0.52902377,-0.2144336,0.30213419,2.8630266,22.203125,9.6465025,4.9240375,19.049711,8.2289276,4.1826549,5.4054723,12,1,1,1,-0.73299998,-4.2224002,10.660954,0,1,19,0,4,7,2,0,0,2.2848907,-3.2848907,0.11123544,0.16533874,59.888065,49.121269,46.96262,8.6190128,32.710148,12.949531,0,47.275223,0,48.942276,18.842079,0,27.133842,27.270733,0.73647523,0.44629326,0.14327747,0.26352477,0.55370677,0.1202473,279.65054,169.46416,54.404575,100.06425,210.25064,45.659679,0.5,1,0,0,0,0,1,0,0,0,1,0,379.71481,0,0,0,379.71481,0,8,0,4,0,0,1,-1.70438,60.694096,99.952454,77.915749,34.467129,0.92957383,5.9423227,0,16.78553,0,147.48236,10.04497,114.26999,87.970879,18.01075,13.200993,0,35.225109,46.448704,129.04279,158.92,0.38828552,6,3.7308617,9.4040966,379.71481,471.23929,108.84981,27.133842,0,5.6825762,188.16946,65.398079,114.53239,453.508,2468,41,156,0.046428364,0.0886935,0,0,0,0,0.2994391843675001,1
