Index,mol_min,NAME,Source,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCG2_Inhib_binary,ABCB1_Inhib,ABCB1_Inhib_binary,BSEP_Inhib,BSEP_Inhib_binary,OATP1B1_Sum_Binary,OATP1B1_binary,OATP1B3_Sum_Binary,OATP1B3_binary,Transporter_binary_score,Transporter_Sum_float,Binary_Characterization,DILI
1,O=CNC,,Source Mulliner,8.7559652,1,1,0,0,1,0,0,0,9,1,2,4,1,14.919684,1.6577427,0,0,2,0,0,5,0,1,1,0,0,2.0979197,-2.2941742,-0.30787954,0.26192757,2.1873925,-2.522706,-0.28947565,0.30246332,2.0248811,-1.9996256,-0.1485123,0.3377381,2.468039,7.0840349,0,0,0,8,1,3,3,1,0.33333334,7,0,3.4142137,2.4855986,1.5773503,1.7071068,1.9142135,1.0243773,0,0,0,0,0.73632163,3,0,-0.84674311,-0.28660107,-0.018786054,1.5285356,-1.1613026,-0.31735912,0.039705507,1.3993614,-0.48478493,-0.15162058,0.038491536,1.7688122,4,3,4,2.5105753,1.4806192,1.240677,0.9293015,2,1,1,0,-0.47999999,0.34061,1.6064495,0,1,0,1,0,0,0,1.3,-1.3,0.63852549,-0.63852549,0.32530722,0.56622589,36.034847,0,4.2653861,8.6190128,22.995895,0,0,0,0,0,0,0,13.566921,0.13689101,0.57135999,0.16005582,0.16005582,0.42863998,0.83994418,0.26858416,48.919247,13.703812,13.703812,36.699707,71.915138,22.995895,0.33333334,0.5,1.3,-1.3,0.43846154,0.56153846,0.19927298,0.16005582,0.16005582,0.80072701,0.83994418,0.64067119,17.061544,13.703812,13.703812,68.557411,71.915138,54.853596,2,0,0,0.43846154,0.56153846,1,-0.63779998,18.01075,0,43.578609,0,0,32.897186,0,0,0,0,1.51237,23.862217,0,18.01075,0,0,0,0,52.613579,29.1,0.95443398,2.5849626,1.4591479,3.4464393,85.61895,80.220375,13.566921,0,0,5.6825762,33.89946,26.549486,19.249496,59.068001,10,1,10,0.45926946,0,0.00093844254,0,0,0,0,0,0,0,0,0.46020791,0,negative
2,S(=O)(C)C,,Source Mulliner,11.222758,1,1,0,0,1,0,0,0,10,0,1,4,2,15.709506,1.5709506,0,0,2,0,0,6,0,0,1,0,1,2.3237901,-2.3309755,0.080356285,0.080356285,2.3664989,-2.4176769,0.123,0.123,2.2625725,-2.0168529,0.1057,0.1057,2.6982155,10.937242,0,0,0,9,0,3,4,0,0,9,0,3.5773504,3.6329932,2,2,1.7320508,2.9494898,0,0,0,0,0.83574855,2,0,-0.88105184,-0.095451437,-0.079643711,1.671315,-0.83276701,-0.037,-0.037,1.6084609,-0.45229715,-0.054299999,-0.054299999,1.9657699,4,1.3333334,0,6.125,2.4305553,0,3.7217879,1,0,1,0,-1.143,0.14881,1.9507171,0,1,0,1,0,0,0,0.50099999,-0.5,0.67566997,-0.67566997,0.14321508,0.91512239,0,67.039795,0,0,0,0,0,0,13.136708,0,0,0,0,16.008261,0.83356762,0.30301026,0.16643241,0.16643241,0.69698972,0,80.176506,29.14497,16.008261,16.008261,67.039795,0,0.5,1,0.50099999,-0.5,0.38722554,1,0.83356762,0.16643241,0.16643241,0.16643241,0.83356762,0,80.176506,16.008261,16.008261,16.008261,80.176506,0,1,0,0,0.38722554,1,1,-0.0052999998,0,24.085844,19.549404,0,0,63.382347,0,0,0,0,1.99904,24.085844,0,0,0,0,0,0,82.931755,36.279999,0.95443398,2.5849626,1,3.5032582,96.184761,93.491043,16.008261,0,0,0,62.769024,13.136708,16.008261,78.135002,9,0,12,0.35272121,0,0.00084752927,0,0,0,0,0,0,0,0,0.35356873,0,negative
3,SC(=S)N,,Source Mulliner,10.660379,1,1,0,0,1,0,0,0,7,1,2,4,0,12.896597,1.842371,0,0,1,0,0,3,0,1,0,0,2,2.5914834,-2.0792139,-0.35012224,0.50431216,1.8875142,-2.4117515,-0.38248909,0.81162268,1.9168431,-1.6425362,0.0128168,0.98597622,2.4020438,6.0396209,0,0,0,6,1,3,2,0,0,5,0,3.5773504,3.6437359,0.5,0.57735026,1.7320508,1.5718679,0,0,0,0,1.0484161,2,0,-0.82075375,-0.33098465,0.13794158,1.2684131,-1.3699769,-0.4435268,0.49074852,1.4021194,-0.42377341,-0.063730001,0.63199461,1.7685378,4,1.3333334,0,6.3712635,2.5648749,0,4.0853734,1,2,1,0,0.23199999,-1.96691,2.3003986,0,1,0,1,0,0,0,1.501,-1.501,0.4684639,-0.4684639,0.26365265,0.65518695,0,0,56.403633,0,0,0,0,10.651674,0,26.362989,0,0,0,6.6511192,0.93353492,0.43635494,0.066465057,0.066465057,0.56364506,0,93.418297,43.665783,6.6511192,6.6511192,56.403633,0,0.5,1,1.501,-1.501,0.38707528,0.532978,0.077756993,0.64353949,0.64353949,0.922243,0.35646054,0.27870354,7.7810974,64.398621,64.398621,92.288322,35.670799,27.8897,1,1,0,0.38707528,0.532978,1,0.15979999,32.897186,0,0,0,0,0,0,0,46.107109,45.192028,2.5773399,0,0,0,0,32.897186,0,0,91.299141,96.910004,0.95443398,2.5849626,1,3.5032582,100.06942,88.871201,31.384512,0,0,17.742489,0,42.036186,49.126999,93.174004,9,0,12,0.19545411,0,0.00046630416,0,0,0,0,0,0,0,0,0.19592041,0,negative
4,O(CC)CC,,Source Mulliner,14.50993,1,1,0,0,1,0,0,0,15,0,1,5,4,17.384077,1.1589385,0,0,4,0,0,10,0,0,1,0,0,2.1906097,-2.4882212,-0.036267851,0.055688325,2.4245961,-2.4803076,0.090948753,0.123,2.444916,-2.2452159,0.1057,0.10616669,2.6567869,12.84807,2,0.5,0,14,0,4,6,2,0.5,14,0,4.1213202,3.8224618,3.4142137,3.4142137,2.4142137,1.9915638,1.4142135,1.4142135,0,0,0.6062032,4,0,-0.81966996,-0.19943514,-0.10431167,1.8816197,-0.82849741,-0.089454167,-0.037,1.9236701,-0.52041459,-0.069632679,-0.054299999,2.084446,5,4,4,5,4,4,4,1,0,1,0,0.88999999,-0.3876,2.2834415,0,1,0,1,0,2,0,0.56,-0.56,0.4634392,-0.4634392,0.12016317,0.82060117,55.494904,17.061544,0,0,0,0,0,37.495354,0,0,0,0,0,2.503756,0.97775537,0.35537216,0.022244625,0.022244625,0.64462787,0,110.0518,39.999111,2.503756,2.503756,72.55645,0,0.5,1,0.56,-0.56,0.5,1,0.71208578,0.022244625,0.022244625,0.28791419,0.97775537,0.26566955,80.149216,2.503756,2.503756,32.406342,110.0518,29.902586,2,0,0,0.5,1,0,1.0427999,0,0,10.999887,41.852516,0,0,0,0,0,66.652031,2.2167001,10.999887,0,0,0,0,0,41.852516,66.652031,9.2299995,0.90438145,3,1.8464394,4.1464396,112.55556,122.27418,2.503756,0,0,0,102.93385,0,2.503756,74.123001,20,2,14,0.25291181,0,0.0014555182,0,0,0,0,0,0,0,0,0.25436732,0,negative
5,OC(=O)CO,,Source Mulliner,8.5931721,1,1,0,0,3,0,0,0,9,3,6,5,1,13.774438,1.530493,0,0,2,0,0,4,0,0,3,0,0,2.6693285,-2.1696632,-0.60460871,0.58122373,2.26546,-2.3849208,-0.64154184,0.46397749,2.0340688,-1.9630781,-0.42291784,0.69318062,2.4541233,5.3308282,1,0.25,0,8,1,4,3,1,0.25,7,0,4.2844572,2.5097823,1.2071068,1.2844571,2.2700555,1.0975121,0.35355338,0.40824831,0,0,0.93915993,3,0,-0.76450801,-0.45150384,0.16155228,1.5728352,-0.93412578,-0.52167213,0.013537396,1.3881419,-0.48709357,-0.25831217,0.23399913,1.7577904,5,2.25,4,4.0214376,1.6858125,2.67325,1.3558779,3,2,1,0,-0.89899999,0.61615998,1.5312996,0,1,0,1,0,1,0,1.9,-1.9,0.97717297,-0.97717297,0.29194239,0.39400861,0,8.5307722,14.951293,0,20.648346,14.708499,0,0,0,0,0,0,13.566921,15.535081,0.26702094,0.33092678,0.33092678,0.73297906,0.66907322,0.40205228,23.482065,29.102001,29.102001,64.458847,58.838909,35.356846,0.33333334,0.5,1.9,-1.9,0.34684211,0.35789475,0.097005725,0.33092678,0.33092678,0.90299428,0.66907322,0.5720675,8.5307722,29.102001,29.102001,79.410141,58.838909,50.308136,2,0,0,0.34684211,0.35789475,1,-0.93669999,25.385227,7.7454643,23.862217,46.311485,0,0,0,0,0,0,1.47216,23.862217,25.385227,25.385227,0,0,0,28.671722,0,57.529999,0.90438145,3,1.5219281,4.1971598,87.94091,80.977684,0,0,0,0,22.058474,14.708499,40.700764,76.050995,18,2,16,0.18741065,0,0.0004883596,0,0,0,0,0,0,0,0,0.18789901,0,negative
6,ClCC(O)=O,,Source Mulliner,9.3043795,1,1,0,0,2,0,0,0,8,2,4,5,2,15.245112,1.9056391,0,0,2,1,0,3,0,0,2,0,0,2.6693285,-2.0861797,-0.37300614,0.33290181,2.2342081,-2.2679141,-0.29166013,0.48253027,2.114702,-1.861441,-0.17202665,0.55930632,2.4617572,4.6576209,1,0.25,0,7,1,4,2,1,0.25,6,0,4.2844572,3.1964622,1.2071068,1.2844571,2.2700555,1.583068,0.35355338,0.40824831,0,0,1.0688326,3,0,-0.70050848,-0.39860147,0.042492796,1.5121349,-0.91301817,-0.33093092,0.2133577,1.4750013,-0.43158498,-0.17738989,0.26017943,1.7495248,5,2.25,4,5.565568,2.5869312,4.8289576,2.8795483,2,1,1,0,0.34900001,-0.35166001,1.8850169,1,1,0,1,0,1,0,1.51,-1.51,0.70900232,-0.70900232,0.38695547,0.46598119,0,8.5307722,11.01252,0,10.324173,14.708499,0,0,0,29.581947,0,0,13.566921,7.7675405,0.51444149,0.53319871,0.22341534,0.48555851,0.46680132,0.26214316,49.12524,50.916409,21.334461,46.367134,44.575966,25.032671,0.33333334,0.5,1.51,-1.51,0.43642384,0.43046358,0.089334592,0.53319871,0.53319871,0.91066539,0.46680132,0.37746671,8.5307722,50.916409,50.916409,86.961601,44.575966,36.045193,2,1,0,0.43642384,0.43046358,1,0.3098,0,7.7454643,23.862217,44.568665,0,0,0,0,0,39.148643,1.83558,23.862217,0,25.385227,0,0,0,26.928902,39.148643,37.299999,0.90438145,3,1.5219281,4.1971598,95.492371,88.411407,0,0,0,0,47.701649,14.708499,27.133842,94.496994,18,2,16,0.15663701,0,0.0006688392,0,0,0,0,0,0,0,0,0.15730585,0,negative
7,O=C(CC)C,,Source Mulliner,13.176344,1,1,0,0,1,0,0,0,13,0,1,5,3,16.105717,1.2389013,0,0,4,0,0,8,0,0,1,0,0,2.6693285,-2.406759,0.023374069,0.033873834,2.4294217,-2.3589697,0.123,0.123,2.4990072,-2.1749749,0.1057,0.1057,2.6717668,9.7036562,1,0.25,0,12,1,4,5,1,0.25,11,0,4.2844572,3.615355,3.2071068,3.284457,2.2700555,1.7647843,1.5606601,1.6927054,0,0,0.63929397,3,0,-0.74611062,-0.13662593,-0.12612617,1.855559,-0.81062156,-0.037,-0.037,1.9150635,-0.50905418,-0.054299999,-0.054299999,2.075614,5,2.25,4,4.0214376,1.6858125,2.67325,1.3558779,1,0,1,0,0.57200003,-0.13838001,2.1942098,0,1,0,1,0,1,0,0.56999999,-0.56999999,0.36237291,-0.36237291,0.35891852,0.82156551,42.824402,0,8.458519,0,0,0,0,18.747677,18.747677,0,0,0,13.566921,0,0.86743957,0.49892205,0.1325604,0.1325604,0.50107795,0,88.778275,51.062275,13.566921,13.566921,51.282921,0,0.33333334,0.5,0.56999999,-0.56999999,0.78596491,1,0.78479266,0.1325604,0.1325604,0.21520737,0.86743957,0.082646959,80.319756,13.566921,13.566921,22.02544,88.778275,8.458519,2,1,0,0.78596491,1,1,0.98540002,0,5.6876111,23.862217,0,0,0,0,0,18.868406,66.652031,2.0971999,23.862217,0,0,0,0,18.868406,5.6876111,66.652031,17.07,0.90438145,3,1.5219281,4.1971598,102.3452,112.79161,13.566921,0,0,0,74.625397,8.458519,13.566921,72.106995,18,2,16,0.24040097,0,0.00092192105,0,0,0,0,0,0,0,0,0.24132289,0,negative
8,OCC(=O)CO,,Source Mulliner,11.686758,1,1,0,0,3,0,0,0,12,2,5,6,2,18,1.5,0,0,3,0,0,6,0,0,3,0,0,2.8371687,-2.2987442,-0.62440747,0.56086344,2.387929,-2.5131118,-0.69028711,0.44291878,2.16418,-2.0793273,-0.44113863,0.71022695,2.5997996,7.517242,2,0.40000001,0,11,1,5,6,2,0.40000001,10,0,4.9915638,3.2168891,1.9142135,1.9915638,2.8080604,1.5436865,0.70710677,0.81649661,0,0,0.85457432,4,0,-0.77868927,-0.43609884,0.11154499,1.7788212,-0.94241989,-0.54891223,-0.0053724539,1.6033831,-0.49074006,-0.2566106,0.22196314,1.979794,6,3.2,3,5.03652,2.57372,2.3101876,2.1604321,3,2,1,0,-1.543,0.48319,2.025903,0,1,0,1,0,2,0,1.9299999,-1.9299999,1.0674038,-1.0674038,0.19671005,0.36297697,0,17.061544,29.902586,8.458519,20.648346,0,0,0,0,0,0,0,13.566921,15.535081,0.52696651,0.27670601,0.27670601,0.47303346,0.72329396,0.19632745,55.422649,29.102001,29.102001,49.750347,76.070992,20.648346,0.5,1,1.9299999,-1.9299999,0.23212436,0.35233161,0.16222362,0.27670601,0.27670601,0.83777636,0.72329396,0.56107038,17.061544,29.102001,29.102001,88.11145,76.070992,59.009449,2,1,0,0.23212436,0.35233161,1,-1.4599,50.770454,5.6876111,23.862217,41.852516,0,0,0,0,0,0,1.91786,23.862217,50.770454,0,0,0,0,47.540127,0,57.529999,0.85240519,3.321928,1.8256052,4.7600174,105.173,105.40686,13.566921,0,0,0,44.116947,8.458519,40.700764,90.077995,31,4,20,0.25972882,0,0.00069859967,0,0,0,0,0,0,0,0,0.26042742,0,negative
9,[nH]1ncnc1,,Source Mulliner,8.8203793,1,1,0,0,3,0,5,0,8,2,5,5,0,12.490225,1.5612781,0,0,2,0,0,3,0,3,0,0,0,2.2340245,-1.8296674,-0.4755829,0.63709491,1.9376781,-1.8691298,-0.49364063,0.61701429,1.9188306,-1.533924,-0.3384864,0.81814432,2.2111561,5.2596211,0,0,5,8,0,5,1,0,0,3,0,3.5355339,2.5491278,1.1547005,1.4142135,2.5,1.2868786,0,0,0,0,0.82976085,2,0,-0.81947559,-0.33562565,0.13500881,1.5244364,-0.89519155,-0.36986566,0.13717549,1.504236,-0.45241767,-0.18150151,0.26286906,1.7853011,3.2,1.4400001,0.63999999,1.7652466,0.64249867,0.19546668,0.22683373,3,1,1,0,-0.60900003,0.016620001,1.7939625,0,1,5,1,1,0,0,1.273,-1.272,0.64966911,-0.64966911,0.2924059,0.40864095,0,0,51.004627,8.6190128,0,0,0,0,0,0,9.4210396,5.6825762,3.8753545,0,0.87840188,0.24145471,0.12159813,0.12159813,0.75854528,0,69.044678,18.97897,9.5579309,9.5579309,59.623638,0,0,0,1.273,-1.272,0.28750983,0.5558176,0.37871134,0.19215158,0.19215158,0.62128866,0.80784839,0.42913708,29.767698,15.103616,15.103616,48.834911,63.498993,33.731293,2,0,1,0.28750983,0.5558176,1,-0.1953,0,33.448536,16.663008,0,0,0,0,33.57106,0,0,1.63827,0,33.448536,16.663008,0,0,33.57106,0,0,41.57,0.9709506,3.321928,1,4.2402239,78.602608,83.237236,9.4210396,0,0,0,0,49.581036,24.524654,69.067001,15,0,20,0.20649755,0,0.0022901467,0,0,0,0,0,1,0,0,1.2087877,0,negative
10,N1CCCC1,,Source Mulliner,14.141137,1,1,0,0,1,0,0,0,14,1,2,5,4,16.773643,1.1981174,0,0,4,0,0,9,0,1,0,0,0,2.0833333,-2.4527142,-0.39513239,0.45484367,2.6406205,-2.5886936,-0.35330725,0.48984459,2.6538255,-2.2206104,-0.29027531,0.55266589,2.9069717,10.498863,0,0,0,14,0,5,2,0,0,14,0,3.5355339,3.3284271,2.8284271,2.8284271,2.5,2.2071068,1.5,1.5,0,0,0.62386501,2,0,-0.85814965,-0.30205646,0.040151257,2.0901675,-1.1562279,-0.23132615,0.11162604,2.1058528,-0.52623183,-0.17084475,0.10575433,2.3189228,3.2,1.4400001,0.63999999,3.2,1.4400001,0.63999999,0.92159998,1,1,1,0,0.43099999,0.09014,2.2069559,0,1,5,1,1,1,0,0.89999998,-0.89999998,0.40267983,-0.40267983,0.30280939,0.78466499,34.123089,0,8.6190128,0,0,0,0,43.787277,0,0,0,0,0,0.13689101,0.99842048,0.50681967,0.0015795188,0.0015795188,0.49318036,0,86.529381,43.924168,0.13689101,0.13689101,42.7421,0,0,0,0.89999998,-0.89999998,0.40000001,1,0.59453022,0.0015795188,0.0015795188,0.40546981,0.99842048,0.40389028,51.525715,0.13689101,0.13689101,35.140553,86.529381,35.003662,2,0,1,0.40000001,1,1,0.3698,18.01075,0,0,36.879158,0,0,0,0,37.736813,0,2.2103701,0,0,18.01075,0,0,37.736813,36.879158,0,12.03,0.9709506,3.321928,1,4.2402239,86.666267,114.00383,0,0,0,0,72.216003,0,5.6825762,71.123001,15,0,20,0.20185255,0,0.0011710302,0,0,0,0,0,1,0,0,1.2030236,0,negative
