Index_1777,Index,Index_final,Index_initial,mol_min,Drug_Name,Zhu_2_class,Source_Zhu,Fourches_2_class,Source_Fourches,LiuR_3_class,LiuR_2_class,Source_LiuR,Source_LiuZ_PLOS_SIDER,LiuZ_SIDER_Combined_Scores,LiuZ_SIDER_2_class,LiuZ_Pfizer_2_class,Source_LiuZ_Pfizer,LiuZ_OBrien_3_class,LiuZ_OBrien_2_class,Source_LiuZ_OBrien,Ekins_2_class,Source_Ekins,Rodgers_Activity,Rodgers_2_class,Source_Rodgers,DILI_3class_Chen,DILI_2class_Chen,Source_Chen,Sum_Score_DILI,Sources_total,DILI_Characterization,DILI_Total_2_class,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,ABCG2_Inhib,ABCB1_Inhib,BSEP_Inhib,OATP1B1_Sum_Binary,OATP1B3_Sum_Binary,Binary_Characterization
1,1,1,2,BrC(Cl)C(F)(F)F,Halothane,,,,,1,1,LiuR_2015,LiuZ_PLOS_SIDER,1,0,,,,,,,,NA ,,Rodgers,,,,3/4,Zhu  Fourches  LiuR  LiuZ_SIDER  Rodgers(NA),Positive,1,11.087793,1,1,0,0,0,0,0,0,8,0,0,7,6,17.245113,2.1556392,0,1,2,1,3,1,0,0,0,0,0,3.5411971,-2.1609554,-0.16815934,-0.014314667,2.4710751,-2.2923107,0.35296118,0.65266627,2.3941054,-2.0296006,0.1108,0.59822571,2.6164353,6.4122071,0,0,0,7,0,6,3,1,0.16666667,7,0,6.0773501,5.3090982,1.0773503,1.0773503,2.9433756,2.6441689,0.28867513,0.28867513,1,1,1.6852216,3,0,-0.57579631,-0.32815933,-0.17331371,1.6453971,-0.82461953,0.1683479,0.48503697,1.7635109,-0.47829944,-0.049199998,0.40612909,1.8686388,7,1.8518518,2.6666667,11.15408,3.1990712,5.0179791,5.0975285,0,0,1,0,2.36112,-2.41307,2.3564184,1,1,0,1,0,0,0,1.54,-1.54,0.66604131,-0.66604131,0.62363118,0.25247586,0,4.2653861,0,1.009824,0,0,9.0455017,0,43.624847,29.581947,35.725906,0,0,0,0.92661053,0.88381082,0,0.073389463,0.11618917,0.073389463,114.20792,108.9327,0,9.0455017,14.320712,9.0455017,0.33333334,0.5,1.54,-1.54,0.66233766,0.22077923,0.034606636,0.88381082,0.88381082,0.96539336,0.11618917,0.081582531,4.2653861,108.9327,108.9327,118.98803,14.320712,10.055326,2,1,0,0.66233766,0.22077923,1,2.5085001,0,7.7595162,4.5953569,0,0,0,0,0,0,129.98308,2.4623001,0,44.880341,7.7595162,4.5953569,0,0,0,85.102737,0,0.80309099,3.5849626,1.5566567,5.2844763,123.25342,117.12466,0,0,0,0,117.9782,4.5634146,0,197.381,42,6,30,0.5403887,0.0028506848,0.2,0,0,1
5,2,2,6,Br[C@@H](C(C)C)C(=O)NC(=O)N,Bromisoval,1,Zhu LD,1,Fourches,,,,,,,,,,,,,,,,,,,,2/2,Zhu  Fourches,Positive,1,24.748722,1,1,0,0,2,0,0,0,22,2,4,11,5,40.543972,1.8429079,0,1,6,0,0,11,0,2,2,0,0,3.7551992,-2.5856392,-0.45930287,0.38201928,2.5960484,-2.6872482,-0.27589107,0.51766998,2.6331074,-2.3416512,-0.25043502,0.53542632,2.8557363,15.231277,2,0.2,0,21,2,10,4,4,0.40000001,19,0,9.0165081,8.0125084,4.1547008,4.309401,4.9472647,4.1075258,1.776709,1.8213673,1,0,1.001325,6,0,-0.8010506,-0.39853618,0.047852173,2.2039893,-1.3709102,-0.31561732,0.1383841,2.2238393,-0.52610993,-0.1990156,0.16018876,2.4615138,11,4.7928996,4.4444447,10.494071,4.5491385,4.1992679,4.3399076,4,3,1,0,0.87599999,-1.92191,4.5301433,1,1,0,1,0,2,0,2.6600001,-2.6600001,1.3744814,-1.3744814,0.23283763,0.25587431,29.857702,4.2653861,0,25.857038,12.949531,0,17.440542,0,81.120201,0,0,13.566921,13.703812,6.6511192,0.68691289,0.56005448,0.16514035,0.31308708,0.43994552,0.14794675,141.10033,115.04205,33.921852,64.311928,90.370201,30.390074,0.5,1,2.6600001,-2.6600001,0.25939849,0.30075186,0.3486571,0.3775174,0.3775174,0.65134287,0.6224826,0.2738255,71.618446,77.5467,77.5467,133.79381,127.86555,56.247112,3,1,0,0.25939849,0.30075186,1,0.60079998,50.90794,10.088739,28.142542,0,4.4107962,0,0,0,0,136.46834,4.5279102,47.724434,0,22.421547,4.2803254,32.897186,0,10.088739,112.60612,72.190002,0.64681429,4.321928,2.4891124,6.5994034,205.41226,222.77481,27.133842,0,0,23.425066,106.9025,30.390074,50.558907,223.06999,166,12,46,0.26704642,0.0044384804,0.2,0,0,1
7,3,3,12,Brc1[nH]c2c3c1CC1N(CC(C=C1c3ccc2)C(=O)N[C@]1(O[C@@]2(O)N(C(CC(C)C)C(=O)N3C2CCC3)C1=O)C(C)C)C,Bromocriptine,,,,,0,1,LiuR_2015,,,,,,,,,,,,,,,,,1/4,Fourches  LiuR  LiuZ_SIDER  Rodgers,Negative,0,95.55172,0,0,3,5,6,0,9,0,83,3,9,43,27,133.03188,1.6027936,0,1,32,0,0,40,0,5,5,0,0,1.151428,-2.7203164,-0.54753286,0.58121163,2.8865144,-2.8728044,-0.47253177,0.5346145,2.7732677,-2.482374,-0.35848182,0.74246675,3.1097176,57.068279,5,0.10204082,10,89,4,49,5,6,0.12244898,75,0,30.584694,26.901953,20.516144,21.731321,20.36857,16.264891,10.513597,11.924576,6,4,0.8113215,16,0,-0.84952515,-0.40857688,0.046593249,3.2792797,-1.1639259,-0.32188463,0.058313772,3.2352631,-0.53656334,-0.20862782,0.16869709,3.5146177,31.591837,11.312611,4.7454276,27.118015,9.6738281,4.04704,6.1008143,10,3,1,1,5.0999999,-7.10642,16.361883,0,1,33,0,7,5,3,7.198,-7.1999998,3.6901617,-3.6901617,0.076263748,0.09451063,166.40028,36.600922,6.2919211,17.238026,36.223236,18.549088,0,120.54932,111.75542,0,0,0,43.204517,8.0413227,0.81230873,0.50198913,0.090724036,0.18769126,0.4980109,0.096967213,458.83588,283.55057,51.245842,106.01817,281.30347,54.77232,0.5,1,7.198,-7.1999998,0.11947763,0.1125,0.65577757,0.28611508,0.11217739,0.3442224,0.71388489,0.23204502,370.41864,161.61327,63.363853,194.43542,403.24078,131.07156,8,1,7,0.11947763,0.1125,0.58139533,3.19277,43.395977,25.149292,111.31797,36.879158,19.603539,54.391869,0,78.47541,56.605217,179.25815,16.415819,82.58654,34.758167,50.654945,18.317057,7.9026761,146.04636,52.655506,212.15533,118.21,0.29901332,6.6147099,3.7771301,10.58389,564.85406,806.83923,43.204517,0,0,11.365152,404.48306,51.191368,68.136589,654.60596,5950,92,256,0.22018433,0.96472502,1.0,4,4,0
9,4,4,15,Brc1c(nc(nc1Oc1c(cc(cc1C)C#N)C)Nc1ccc(cc1)C#N)N,Etravirine,1,Zhu LD,,,0,1,LiuR_2015,,,,,,,,,,,,,,,,,2/2,Zhu  LiuR,Positive,1,55.653896,0,0,3,5,4,0,18,0,43,2,6,28,16,72.777687,1.6925044,0,1,20,0,0,15,0,6,1,0,0,1.5537891,-2.3332367,-0.68298334,0.70084441,2.3173604,-2.3306668,-0.59841186,0.80591482,2.4907336,-2.0476351,-0.44523856,0.91269302,2.6156757,23.564104,4,0.13333334,18,45,0,30,2,6,0.2,25,2,20.258783,16.702515,11.464102,13.430357,13.405417,8.9966125,5.4760675,7.5705166,0,0,0.85184222,16,0,-0.78349084,-0.50417936,0.10880985,2.456228,-1.3347977,-0.30003089,0.27177647,2.6170957,-0.4846575,-0.21605732,0.34094691,2.7603142,22.68,10.346939,5.7956104,16.456987,7.4117494,4.1135511,4.3562527,7,3,1,0,3.8069999,-6.7491002,10.978179,1,1,18,1,3,6,1,5.3169999,-5.3179998,1.981679,-1.981679,0.10582109,0.14595668,32.291866,79.066925,39.299809,12.949531,15.681574,0,0,159.06671,0,0,41.167557,5.8194671,9.1548758,0,0.9222914,0.54552478,0.037957937,0.077708617,0.45447522,0.039750677,363.84241,215.2086,14.974342,30.655916,179.2897,15.681574,0.5,1,5.3169999,-5.3179998,0.1354147,0.16923656,0.59463489,0.45047912,0.13596545,0.40536514,0.54952091,0.26939967,234.58246,177.71326,53.638142,159.91586,216.78506,106.27772,8,0,3,0.1354147,0.16923656,0.64285713,4.7174082,43.897076,51.58181,0,95.322205,12.7423,3.0551045,0,105.85911,0,129.64792,10.92891,0,106.68966,3.0551045,56.003822,24.994511,138.75629,0,112.60612,120.64,0.38983503,5.9068904,3.6458654,9.3122663,394.49832,510.99252,46.850132,0,0,23.425066,223.53716,82.924438,70.2752,435.285,2190,45,144,0.67188567,0.43907148,0.4,3,3,1
10,5,5,16,Brc1c2nccnc2ccc1NC=1NCCN=1,Brimonidine,0,Zhu LD,,,,,,LiuZ_PLOS_SIDER,0,0,,,,,,,,I ,0,Rodgers,,,,0/2,Zhu  LiuZ_SIDER  Rodgers,Negative,0,34.57793,1,1,0,0,3,0,10,0,27,2,5,17,11,45.499294,1.685159,0,1,11,0,0,10,0,5,0,0,0,1.59092,-2.393491,-0.65420222,0.69004971,2.4757881,-2.6165967,-0.55121762,0.83364642,2.391638,-2.127656,-0.41917819,0.96225971,2.7657688,17.502069,1,0.052631579,11,29,1,19,2,2,0.10526316,17,0,11.664926,10.529217,6.2236147,7.1293921,8.3433371,6.0829968,2.4940169,3.3164966,0,0,0.93293381,9,0,-0.84504622,-0.42738435,0.091937453,2.2966471,-1.170115,-0.36443087,0.24149504,2.3979666,-0.50483513,-0.18554682,0.31794584,2.6273751,12.055402,5.3254437,2.5599999,9.5097895,4.1335397,1.9615269,2.3122995,5,2,1,0,1.4585299,-2.0613899,6.7689199,0,1,16,1,3,2,0,3.7160001,-3.7160001,1.5453967,-1.5453967,0.12789981,0.2291027,46.684155,62.966724,6.6995511,32.919601,0,0,0,68.134659,0,0,0,0,17.047728,0.27378201,0.92620546,0.36406744,0.073794536,0.073794536,0.63593256,0,217.40469,85.456169,17.32151,17.32151,149.27003,0,0.44444445,0.80000001,3.7160001,-3.7160001,0.14800861,0.22039828,0.61646861,0.36406744,0.073794536,0.38353139,0.63593256,0.30973685,144.70134,85.456169,17.32151,90.024864,149.27003,72.703354,5,0,3,0.14800861,0.22039828,1,1.7634,18.01075,53.480904,0,36.879158,0,19.840633,0,74.003357,0,48.710842,7.11654,0,50.35659,21.065855,0,25.055773,69.71508,38.778248,45.954094,62.200001,0.56150466,5.2479277,2.947526,7.8666224,234.7262,313.1412,17.047728,0,0,11.365152,178.79073,15.681574,28.41288,292.13998,515,24,90,0.32778975,0.10031661,0.2,0,0,0
12,6,6,19,Brc1cc(Cl)c(Nc2c(cc3n(cnc3c2F)C)C(=O)NOCCO)cc1,Selumetinib,0,Zhu LD,0,Fourches,,,,,,,,,,,,,,,,,,,,0/2,Zhu  Fourches,Negative,0,52.514896,0,0,3,4,4,0,15,0,42,3,7,27,18,85.632217,2.0388622,0,1,17,1,1,15,0,4,3,0,0,1.7204859,-2.4099674,-0.66413152,0.64554101,2.409744,-2.5776126,-0.50146884,0.75738597,2.4422262,-2.184828,-0.42723423,0.8858639,2.655036,25.485106,6,0.20689656,16,44,1,29,6,7,0.24137931,27,0,19.551678,16.434921,9.8009653,11.1459,12.917923,8.9772701,4.0653839,5.4494896,0,0,0.954826,13,0,-0.8520841,-0.40828574,0.068562917,2.5228689,-1.1470715,-0.26349053,0.2226612,2.6345778,-0.5176791,-0.18230306,0.27268347,2.8267965,21.702734,9.6668653,4.9507437,18.591114,8.2290421,4.1947742,5.6661873,7,3,1,0,3.4159999,-5.6367202,10.383209,0,1,16,1,3,6,1,4.3559999,-4.355,2.4484007,-2.4484007,0.11311784,0.16037263,44.986607,105.38999,19.58395,17.639858,10.324173,12.949531,0,49.019615,73.206795,0,0,22.930788,19.606171,7.7675405,0.80809277,0.44999647,0.13120459,0.19190726,0.55000353,0.060702659,309.82681,172.53091,50.304501,73.578201,210.87411,23.273705,0.46153846,0.85714287,4.3559999,-4.355,0.12488522,0.15614237,0.63811529,0.46747032,0.10014439,0.36188471,0.53252971,0.26174033,244.6566,179.23047,38.395863,138.74841,204.17456,100.35255,7,0,3,0.12488522,0.15614237,0.7037037,3.8848,46.010311,41.954155,20.339783,41.852516,27.047791,3.0551045,3.5006065,91.646538,0,138.47353,10.38917,35.080978,59.029961,32.801205,6.6861815,27.812519,87.358269,47.111301,117.99992,88.410004,0.40063059,5.8579812,3.3742516,9.2454014,383.40503,479.34073,25.151855,0,0,16.567839,271.16537,37.740047,55.286613,457.68698,1808,44,140,0.067394033,0.62018901,0.5,2,1,0
15,7,7,22,Brc1cc(cc(Br)c1O)C(=O)c1c2c(oc1CC)cccc2,Benzbromarone,1,Zhu Calibration,1,Fourches,1,1,LiuR_2015,,,,1,LiuZ_Pfizer,,,,1,Ekins,,,,1,1,Chen,6/6,Zhu  Fourches  LiuR  LiuZ_Pfizer  Ekins  Chen,Positive,1,46.427517,0,0,2,2,2,0,15,0,34,1,3,22,16,53.712429,1.5797774,0,2,17,0,0,12,0,0,3,0,0,1.7396255,-2.3705299,-0.6659292,0.68163663,2.4106538,-2.3044057,-0.43063873,0.87834501,2.4936101,-2.144351,-0.39959002,0.9425422,2.673697,18.572483,3,0.125,16,36,1,24,3,3,0.125,19,0,15.853006,14.862841,9.6712084,11.1459,10.524076,8.3426514,5.5427108,7.3981781,0,0,0.99896008,10,0,-0.83425754,-0.4208003,0.063000306,2.4806693,-0.77653939,-0.26020628,0.22103445,2.6281292,-0.51314729,-0.19564931,0.27486867,2.7891128,16.84375,6.8571429,3.1653478,15.548563,6.3046322,2.9018905,4.4558167,3,1,1,1,5.697,-7.23701,9.2397032,0,1,16,1,3,3,1,2.6300001,-2.6300001,1.5136179,-1.5136179,0.14363143,0.30322376,38.949738,27.800856,25.375559,8.458519,10.324173,0,0,124.01441,55.51239,0,0,0,13.566921,10.271297,0.8912974,0.64709491,0.075851731,0.10870261,0.35290509,0.03285088,280.11148,203.36502,23.838217,34.162392,110.90884,10.324173,0.5,1,2.6300001,-2.6300001,0.21673004,0.21673004,0.86438292,0.62138289,0.075851731,0.13561709,0.37861711,0.059765365,271.65295,195.28439,23.838217,42.620911,118.98946,18.782692,5,1,3,0.21673004,0.21673004,1,5.4567699,25.385227,5.6876111,0,0,35.682186,34.485962,0,113.26828,0,130.47763,9.25313,33.369564,25.385227,6.110209,17.063398,7.4091749,124.72751,5.6876111,125.2342,50.439999,0.46637034,5.5849624,3.0742695,8.649828,314.27386,424.52945,13.566921,0,0,0,246.90616,27.879314,27.133842,424.08798,988,38,118,0.70188624,0.37353188,0.5,0,0,1
18,8,8,27,Brc1ccc(S(=O)(=O)N\C=N\CCSCc2nc(sc2)\N=C(\N)/N)cc1,Ebrotidine,,,,,1,1,LiuR_2015,,,,,,,,,,,,,,1,1,Chen,2/2,LiuR  Chen,Positive,1,55.929482,0,0,2,4,5,0,11,0,43,3,8,26,14,88.274887,2.0529044,0,1,14,0,0,17,0,6,2,0,3,1.4693468,-2.477561,-0.61767823,0.5579282,2.4257615,-2.6442325,-0.53807992,0.64523888,2.5560024,-2.1363471,-0.28581938,0.85431087,2.7747777,34.210518,8,0.2962963,11,44,2,27,5,9,0.33333334,31,0,18.993353,17.536455,8.0854216,9.2507124,12.36501,11.55673,2.9635956,3.9494898,0,0,0.97257209,18,0,-0.89241076,-0.35651234,0.026322659,2.3368902,-1.3839538,-0.41346312,0.17268471,2.4224384,-0.48507729,-0.18192644,0.23677942,2.6591091,22.29081,11.111111,8.2799997,21.84338,10.878977,8.1021709,9.1397552,8,5,1,0,2.1010001,-5.6256299,11.028312,0,1,13,1,2,8,1,7.0009999,-7.0009999,2.5237751,-2.5237751,0.12112108,0.1842365,69.731255,25.592316,21.785637,80.023849,0,0,4.1846013,69.616432,57.855816,32.016521,19.760618,13.894673,0,18.984816,0.91035336,0.51307452,0.079525366,0.08964663,0.48692551,0.010121264,376.38245,212.12888,32.87949,37.064091,201.31766,4.1846013,0.5,1,7.0009999,-7.0009999,0.20668475,0.12141123,0.46186635,0.52117324,0.20475835,0.53813368,0.47882676,0.3333753,190.95705,215.47728,84.656631,222.4895,197.96927,137.83287,9,0,2,0.20668475,0.12141123,1,2.3169,82.199371,66.856308,23.426271,35.673141,2.7567475,38.176899,0,86.388748,0,127.18563,11.17743,48.171688,50.35659,21.010836,2.7567475,66.29512,103.62231,37.572235,132.87759,135.82001,0.40176207,5.7548876,3.955502,9.0355835,413.44653,490.89627,49.064251,0,0,43.560184,233.1696,63.744324,92.624435,477.43201,2264,32,126,0.038805284,0.35432103,0.3,0,0,1
19,9,9,28,Brc1ccc(cc1)C(=O)c1cccc(CC(O)=O)c1N,Bromfenac,1,Zhu Calibration,1,Fourches,1,1,LiuR_2015,,,,1,LiuZ_Pfizer,,,,1,Ekins,,,,1,1,Chen,6/6,Zhu  Fourches  LiuR  LiuZ_Pfizer  Ekins  Chen,Positive,1,40.957516,0,0,1,2,3,0,12,0,32,3,6,20,14,53.622204,1.6756939,0,1,15,0,0,12,0,1,3,0,0,1.9347738,-2.3303933,-0.60932356,0.6525377,2.3666527,-2.4045737,-0.52083725,0.79207075,2.4089563,-2.0406103,-0.43676153,0.86785287,2.6563723,15.664484,4,0.19047619,12,33,2,21,2,4,0.19047619,19,0,14.698306,12.05358,8.248559,9.6983061,9.4860706,6.6750016,4.772491,6.5993195,0,0,0.89910108,11,0,-0.80760872,-0.44612879,0.088284522,2.3977027,-1.3346348,-0.30605701,0.20710537,2.4953854,-0.45891336,-0.22681564,0.27931175,2.7040453,16.371881,7.3198571,4.25,12.738126,5.6141696,3.225579,3.5757,4,3,1,0,3.3080001,-4.29983,8.0143089,1,1,12,1,2,4,0,3.994,-3.9949999,1.6144052,-1.6144052,0.1635243,0.20504236,21.899611,38.559017,17.238026,8.458519,10.324173,14.708499,0,63.483059,68.134659,0,0,0,27.133842,14.418659,0.76584041,0.6089865,0.14612739,0.23415962,0.3910135,0.088032223,217.77289,173.17021,41.552502,66.585175,111.18784,25.032671,0.45454547,0.83333331,3.994,-3.9949999,0.1649975,0.2252816,0.64487368,0.6089865,0.14612739,0.35512632,0.3910135,0.20899893,183.37503,173.17021,41.552502,100.98303,111.18784,59.430531,6,1,2,0.1649975,0.2252816,1,2.88937,32.897186,13.433075,23.862217,25.385227,33.418941,21.92351,0,123.50229,0,48.710842,7.9768701,47.724434,0,28.440331,9.5567245,2.7567475,175.26788,13.433075,45.954094,80.389999,0.48464775,5.3923173,3.1787648,8.3459721,284.35806,371.6701,13.566921,0,0,17.742489,185.67018,23.167019,58.443253,334.16901,830,30,100,0.18149622,0.059445344,0.3,0,0,1
20,10,10,29,Brc1ccc(cc1)C(CCN(C)C)c1ncccc1,Brompheniramine,,,,,-1,0,LiuR_2015,,,,0,LiuZ_Pfizer,,,,0,Ekins,,,,,,,0/3,LiuR  LiuZ_OBrien  Ekins,Negative,0,46.079067,0,0,2,3,2,0,12,0,38,0,2,19,17,52.710621,1.3871217,0,1,16,0,0,19,0,2,0,0,0,1.925043,-2.6471107,-0.53755766,0.58382428,2.5767224,-2.6777689,-0.40421695,0.76668894,2.639607,-2.3726449,-0.33085242,0.81177324,2.8436785,25.360933,5,0.25,12,39,0,20,6,5,0.25,27,0,13.664926,12.968754,10.110366,11.380469,9.1647034,7.270082,4.5956411,6.1161566,1,1,0.79059523,9,0,-0.86391342,-0.35636666,0.05157835,2.5741472,-0.95313859,-0.26040474,0.15641689,2.6776466,-0.51970422,-0.17216235,0.18213233,2.8484116,15.39,7.6952662,4.7950053,13.413324,6.6525331,4.1190286,4.6964517,2,0,1,0,3.6570001,-3.1472001,8.433219,0,1,12,1,2,5,0,2.734,-2.7349999,1.0618241,-1.0618241,0.07811451,0.29036164,72.61692,34.123089,0,0,0,0,0,119.59917,80.389565,0,0,0,5.6825762,0,0.98181057,0.65833503,0.018189406,0.018189406,0.341665,0,306.72873,205.67131,5.6825762,5.6825762,106.74001,0,0.44444445,0.80000001,2.734,-2.7349999,0.1049744,0.29616088,0.79081333,0.43948567,0.018189406,0.20918666,0.56051433,0.19099726,247.05904,137.30029,5.6825762,65.35228,175.11102,59.669704,5,0,2,0.1049744,0.29616088,1,3.9277,0,19.909843,0,18.439579,5.9423227,68.84948,4.4107962,140.71664,18.868406,45.954094,8.3393002,0,19.909843,3.0551045,10.353119,0,159.58505,18.439579,111.74847,16.129999,0.5023343,5.321928,3.0133755,8.2190228,312.41132,403.8046,5.6825762,0,0,0,291.85959,0,5.6825762,319.246,718,25,92,0.18387589,0.065933235,0.0,0,0,0
