SMILES,Drug_Name,IsDILI
BrC(Cl)C(F)(F)F,Halothane,1.0
Br[C@@H](C(C)C)C(=O)NC(=O)N,Bromisoval,1.0
Brc1[nH]c2c3c1CC1N(CC(C=C1c3ccc2)C(=O)N[C@]1(O[C@@]2(O)N(C(CC(C)C)C(=O)N3C2CCC3)C1=O)C(C)C)C,Bromocriptine,0.0
Brc1c(nc(nc1Oc1c(cc(cc1C)C#N)C)Nc1ccc(cc1)C#N)N,Etravirine,1.0
Brc1c2nccnc2ccc1NC=1NCCN=1,Brimonidine,0.0
Brc1cc(Cl)c(Nc2c(cc3n(cnc3c2F)C)C(=O)NOCCO)cc1,Selumetinib,0.0
Brc1cc(cc(Br)c1O)C(=O)c1c2c(oc1CC)cccc2,Benzbromarone,1.0
Brc1ccc(S(=O)(=O)N\C=N\CCSCc2nc(sc2)\N=C(\N)/N)cc1,Ebrotidine,1.0
Brc1ccc(cc1)C(=O)c1cccc(CC(O)=O)c1N,Bromfenac,1.0
Brc1ccc(cc1)C(CCN(C)C)c1ncccc1,Brompheniramine,0.0
Brc1ccccc1,Bromobenzene,1.0
ClC(C(NC(=O)C1N(CC(C1)CCC)C)C1OC(SC)C(O)C(O)C1O)C,Clindamycin,1.0
ClC(Cl)(P(O)(O)=O)P(O)(O)=O,Clodronic acid,0.0
ClC(Cl)C(=O)NC(C(O)c1ccc([N+](=O)[O-])cc1)CO,Chloramphenicol,1.0
ClC(Cl)C(=O)NC(C(O)c1ccc([N+](=O)[O-])cc1)COC(=O)CCCCCCCCCCCCCCC,Chloramphenicol Palmitate,1.0
ClC(Cl)C(F)(F)OC,Methoxyflurane,1.0
ClC(F)C(F)(F)OC(F)F,Enflurane,1.0
ClC(OC(F)F)C(F)(F)F,Isoflurane,1.0
ClC1(Cl)CC1c1ccc(OC(C(O)=O)(C)C)cc1,Ciprofibrate,1.0
ClC1=NOC(C1)C(N)C(O)=O,Acivicin,0.0
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane,0.0
ClC=1C2=CC(=O)C3C(C3)[C@@]2(C2C(C=1)C1CC[C@](O)(C(=O)C)[C@]1(CC2)C)C,Cyproterone,1.0
ClC=1C2=CC(=O)C3C(C3)[C@@]2(C2C(C=1)C1CC[C@](OC(=O)C)(C(=O)C)[C@]1(CC2)C)C,Cyproterone acetate,1.0
ClC=1C=Cc2n(C=1)c(CC(=O)N(CCC)CCC)c(n2)-c1ccc(Cl)cc1,Alpidem,1.0
ClC=1CCC2N(C(=O)C2NC(=O)C(N)c2ccccc2)C=1C(O)=O,Loracarbef ,0.0
ClCC(=O)[C@@]12OC(OC1CC1C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)C(O)C[C@@]12C)(C)C,Halcinonide,0.0
ClCC(=O)[C@]1(O)[C@@]2([C@@H]([C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C2)C[C@@H]1C)C,Clobetasol,0.0
ClCC(=O)[C@]1(O)[C@@]2([C@H]([C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C2)C[C@@H]1C)C,Halobetasol propionate,0.0
ClCCN(CCCl)C,Chlormethine,0.0
ClCCN(CCCl)C(Oc1cc2CCC3C4CCC(O)[C@]4(CCC3c2cc1)C)=O,Estramustine,0.0
ClCCN(CCCl)C1=CNC(=O)NC1=O,Uracil Mustard,1.0
ClCCN(CCCl)c1ccc(cc1)CC(N)C(O)=O,Melphalan,1.0
ClCCN(CCCl)c1ccc(cc1)CCCC(O)=O,Chlorambucil,1.0
ClCCN(Cc1ccccc1)C(COc1ccccc1)C,Phenoxybenzamine,0.0
ClCCN(N=O)C(=O)NC1CCCCC1,Lomustine,1.0
ClCCN(N=O)C(=O)NCCCl,Carmustine,1.0
ClCCN(P1(OCCCN1)=O)CCCl,Cyclophosphamide,1.0
ClCCN1P(OCCC1)(=O)NCCCl,Ifosfamide,1.0
ClCC\C(=C(\c1ccc(OCCN(C)C)cc1)/c1ccccc1)\c1ccccc1,Toremifene,1.0
Cl[C@@]12C(C3CC(C)[C@](O)(C(=O)CCl)[C@]3(CC1O)C)CCC1=CC(=O)C=C[C@@]12C,Mometasone,0.0
Cl[C@@]12C(C3CC(C)[C@](O)(C(=O)CO)[C@]3(CC1O)C)CCC1=CC(=O)C=C[C@@]12C,Beclomethasone,0.0
Cl[C@@]12C(C3CC(C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@]3(CC1O)C)CCC1=CC(=O)C=C[C@@]12C,Beclomethasone Dipropionate,0.0
